SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000001,14.5,33.3,modelled
N00000002,67.0,58.2,modelled
N00000003,47.3,45.4,modelled
N00000004,51.9,49.2,modelled
N00000005,49.5,48.1,modelled
N00000006,60.2,54.1,modelled
N00000007,25.3,32.3,modelled
N00000008,30.6,36.8,modelled
N00000009,19.4,29.1,modelled
N00000010,12.4,24.5,modelled
N00000011,31.4,35.5,modelled
N00000012,31.8,35.9,modelled
N00000013,33.2,36.6,modelled
N00000014,39.1,41.3,modelled
N00000015,32.7,35.9,modelled
N00000016,22.9,30.9,modelled
N00000017,12.6,25.8,modelled
N00000018,11.8,24.6,modelled
N00000019,5.0,20.3,modelled
N00000020,9.7,23.1,modelled
N00000021,15.6,27.2,modelled
N00000022,13.4,25.3,modelled
N00000023,5.0,20.1,modelled
N00000024,12.0,24.1,modelled
N00000025,15.0,25.6,modelled
N00000026,21.9,29.9,modelled
N00000027,57.2,52.6,modelled
N00000028,72.5,62.4,modelled
N00000029,10.2,23.6,modelled
N00000030,20.3,28.6,modelled
N00000031,88.8,72.0,modelled
N00000032,58.5,53.3,modelled
N00000033,57.6,52.4,modelled
N00000034,39.2,41.1,modelled
N00000035,52.2,49.0,modelled
N00000036,59.1,54.1,modelled
N00000037,80.4,66.2,modelled
N00000038,76.8,64.8,modelled
N00000039,82.7,68.4,modelled
N00000040,75.1,63.6,modelled
N00000041,92.6,74.5,modelled
N00000042,78.3,65.7,modelled
N00000043,80.3,67.0,modelled
N00000044,71.2,62.1,modelled
N00000045,11.5,23.0,modelled
N00000046,7.9,21.2,modelled
N00000047,17.1,26.5,modelled
N00000048,17.4,27.4,modelled
N00000049,26.8,33.0,modelled
N00000050,20.4,28.1,modelled
N00000051,78.0,66.5,modelled
N00000052,61.8,55.6,modelled
N00000053,57.5,54.7,modelled
N00000054,18.8,31.4,modelled
N00000055,20.3,28.4,modelled
N00000056,24.0,32.0,modelled
N00000057,21.5,32.1,modelled
N00000058,19.9,29.8,modelled
N00000059,20.4,32.0,modelled
N00000060,26.9,33.6,modelled
N00000061,23.8,31.2,modelled
N00000062,23.6,31.7,modelled
N00000063,18.1,29.2,modelled
N00000064,57.3,54.1,modelled
N00000065,32.4,36.8,modelled
N00000066,43.2,43.5,modelled
N00000067,46.8,47.8,modelled
N00000068,24.5,33.1,modelled
N00000069,50.0,49.7,modelled
N00000070,42.4,41.8,modelled
N00000071,44.5,44.1,modelled
N00000072,31.8,37.6,modelled
N00000073,32.2,37.2,modelled
N00000074,42.2,43.7,modelled
N00000075,40.0,43.4,modelled
N00000076,43.6,44.6,modelled
N00000077,54.9,50.5,modelled
N00000078,45.7,46.9,modelled
N00000079,9.6,22.1,modelled
N00000080,6.6,21.0,modelled
N00000081,5.3,19.1,modelled
N00000082,9.1,20.8,modelled
N00000083,7.5,21.4,modelled
N00000084,3.7,18.7,modelled
N00000085,57.7,53.1,modelled
N00000086,82.0,68.3,modelled
N00000087,68.5,59.5,modelled
N00000088,17.1,25.6,modelled
N00000089,81.8,68.0,modelled
N00000090,82.1,68.3,modelled
N00000091,69.5,60.4,modelled
N00000092,12.1,23.8,modelled
N00000093,50.4,47.4,modelled
N00000094,41.9,42.3,modelled
N00000095,68.2,59.1,modelled
N00000096,15.9,25.8,modelled
N00000097,37.1,41.2,modelled
N00000098,36.8,41.1,modelled
N00000099,50.4,48.8,modelled
N00000100,60.7,56.1,modelled
N00000101,47.9,50.1,modelled
N00000102,38.1,42.1,modelled
N00000103,37.4,42.0,modelled
N00000104,54.7,52.6,modelled
N00000105,19.9,29.2,modelled
N00000106,10.6,24.0,modelled
N00000107,16.0,27.9,modelled
N00000108,19.3,27.0,modelled
N00000109,23.6,32.0,modelled
N00000110,18.2,29.4,modelled
N00000111,38.5,42.1,modelled
N00000112,33.1,39.0,modelled
N00000113,38.8,42.1,modelled
N00000114,45.3,45.3,modelled
N00000115,46.4,47.5,modelled
N00000116,32.4,38.8,modelled
N00000117,27.4,34.7,modelled
N00000118,12.9,25.2,modelled
N00000119,5.9,19.9,modelled
N00000120,17.0,26.2,modelled
N00000121,9.9,23.0,modelled
N00000122,18.5,28.7,modelled
N00000123,14.2,24.3,modelled
N00000124,15.7,25.5,modelled
N00000125,80.8,67.2,modelled
N00000126,96.3,76.7,modelled
N00000127,82.7,68.5,modelled
N00000128,91.9,73.9,modelled
N00000129,94.2,75.5,modelled
N00000130,4.8,20.8,modelled
N00000131,3.6,18.4,modelled
N00000132,33.1,37.2,modelled
N00000133,29.8,34.2,modelled
N00000134,8.2,22.2,modelled
N00000135,15.4,26.8,modelled
N00000136,6.5,20.6,modelled
N00000137,6.3,21.0,modelled
N00000138,2.8,18.4,modelled
N00000139,9.6,22.3,modelled
N00000140,12.6,24.1,modelled
N00000141,7.9,21.3,modelled
N00000142,10.7,24.1,modelled
N00000143,9.3,22.7,modelled
N00000144,6.1,21.7,modelled
N00000145,8.1,21.3,modelled
N00000146,11.4,22.9,modelled
N00000147,9.3,23.8,modelled
N00000148,3.3,19.2,modelled
N00000149,2.3,17.7,modelled
N00000150,1.6,17.2,modelled
N00000151,5.3,19.9,modelled
N00000152,2.2,17.2,modelled
N00000153,5.2,19.8,modelled
N00000154,5.8,19.3,modelled
N00000155,10.1,23.3,modelled
N00000156,6.0,19.9,modelled
N00000157,14.4,26.6,modelled
N00000158,6.0,21.3,modelled
N00000159,8.6,22.6,modelled
N00000160,9.9,22.4,modelled
N00000161,5.3,19.8,modelled
N00000162,9.9,22.5,modelled
N00000163,10.9,24.8,modelled
N00000164,2.8,17.4,modelled
N00000165,9.5,21.5,modelled
N00000166,7.0,20.6,modelled
N00000167,5.0,19.1,modelled
N00000168,6.7,20.6,modelled
N00000169,4.1,18.8,modelled
N00000170,1.4,18.4,modelled
N00000171,4.8,19.5,modelled
N00000172,4.0,19.7,modelled
N00000173,0.8,16.3,modelled
N00000174,3.1,19.4,modelled
N00000175,2.9,18.1,modelled
N00000176,10.3,23.5,modelled
N00000177,14.9,26.6,modelled
N00000178,14.8,26.6,modelled
N00000179,10.8,24.5,modelled
N00000180,5.7,20.4,modelled
N00000181,11.3,24.0,modelled
N00000182,3.5,18.1,modelled
N00000183,6.5,22.8,modelled
N00000184,7.8,22.1,modelled
N00000185,1.9,16.2,modelled
N00000186,4.0,20.0,modelled
N00000187,7.1,21.8,modelled
N00000188,3.2,19.7,modelled
N00000189,1.2,17.5,modelled
N00000190,0.0,15.8,modelled
N00000191,4.3,18.0,modelled
