Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Age,18-24,inc_DK,count,persons,128,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Age,25-44,inc_DK,count,persons,223,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Age,45-64,inc_DK,count,persons,244,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",A,Yes,Age,65+,inc_DK,count,persons,237,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Age,18-24,inc_DK,count,persons,24,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Age,25-44,inc_DK,count,persons,78,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Age,45-64,inc_DK,count,persons,87,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",B,No,Age,65+,inc_DK,count,persons,64,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Age,18-24,inc_DK,count,persons,176,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Age,25-44,inc_DK,count,persons,357,0.9
N92000002,Northern Ireland,"Would you accept a private business, charity or social enterprise running some of NI's Public Services, at the same level of service quality?",Base,respondents,Age,45-64,inc_DK,count,persons,392,0.9
