Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,DON'T KNOW/UNDECIDED,,Religion,Protestant,inc_DK,percent,%,7.5,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,DON'T KNOW/UNDECIDED,,Religion,Roman Catholic,inc_DK,percent,%,8.6,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,LEAVE,,Religion,Protestant,inc_DK,percent,%,9.5,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,LEAVE,,Religion,Roman Catholic,inc_DK,percent,%,78.4,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,REMAIN,,Religion,Protestant,inc_DK,percent,%,83.0,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE?,REMAIN,,Religion,Roman Catholic,inc_DK,percent,%,13.0,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,NO,,Gender,Male,inc_DK,percent,%,47.4,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,Not Sure/Undecided,,Gender,Male,inc_DK,percent,%,2.8,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,Not Sure/Undecided,,Gender,Female,inc_DK,percent,%,5.8,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,YES,,Gender,Male,inc_DK,percent,%,42.7,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,YES,,Gender,Female,inc_DK,percent,%,37.2,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,DON'T T KNOW/UNDECIDED,,Religion,Protestant,inc_DK,percent,%,4.0,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,DON'T T KNOW/UNDECIDED,,Religion,Roman Catholic,inc_DK,percent,%,2.9,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,NO,,Religion,Protestant,inc_DK,percent,%,69.5,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,NO,,Religion,Roman Catholic,inc_DK,percent,%,8.6,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,YES,,Religion,Protestant,inc_DK,percent,%,16.0,0.7
N92000002,Northern Ireland,NI BORDER POLL - SHOULD THERE BE ONE (if a Brexit and a second Scottish independence referendum)?,YES,,Religion,Roman Catholic,inc_DK,percent,%,78.4,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE (if a Brexit and a second Scottish independence referendum)?,DON'T KNOW/UNDECIDED,,Religion,Protestant,inc_DK,percent,%,2.5,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE (if a Brexit and a second Scottish independence referendum)?,DON'T KNOW/UNDECIDED,,Religion,Roman Catholic,inc_DK,percent,%,3.6,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE (if a Brexit and a second Scottish independence referendum)?,LEAVE,,Religion,Protestant,inc_DK,percent,%,10.0,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE (if a Brexit and a second Scottish independence referendum)?,REMAIN,,Religion,Protestant,inc_DK,percent,%,76.0,0.7
N92000002,Northern Ireland,IF THERE WAS A NI BORDER POLL - HOW WOULD YOU VOTE (if a Brexit and a second Scottish independence referendum)?,REMAIN,,Religion,Roman Catholic,inc_DK,percent,%,10.1,0.7
