Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"NI ASSEMBLY ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 5: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think the",Turnout in the NI Assembly Election (2nd March) 2017 (5 = same as NI Assembly Election May 2016),,Total,Total,,mean,score,5.49,0.95
N92000002,Northern Ireland,"NI ASSEMBLY ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 5: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think the",Turnout in the NI Assembly Election (2nd March) 2017 (5 = same as NI Assembly Election May 2016),,Total,Total,,min,score,0.0,0.95
N92000002,Northern Ireland,"NI ASSEMBLY ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 5: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think the",Turnout in the NI Assembly Election (2nd March) 2017 (5 = same as NI Assembly Election May 2016),,Total,Total,,max,score,10.0,0.95
N92000002,Northern Ireland,"NI ASSEMBLY ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 5: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think the",Turnout in the NI Assembly Election (2nd March) 2017 (5 = same as NI Assembly Election May 2016),,Total,Total,,std_dev,score,2.06,0.95
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Alliance,Alliance,Total,Total,exc_DK,percent,%,8.88,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),DUP,DUP,Total,Total,exc_DK,percent,%,25.87,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Green,Green,Total,Total,exc_DK,percent,%,3.86,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),NI Conservatives,NI Conservatives,Total,Total,exc_DK,percent,%,0.39,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Others,Others,Total,Total,exc_DK,percent,%,0.77,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),PBP,PBP,Total,Total,exc_DK,percent,%,2.7,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),PUP,PUP,Total,Total,exc_DK,percent,%,0.77,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),SDLP,SDLP,Total,Total,exc_DK,percent,%,12.36,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),Sinn Féin,Sinn Féin,Total,Total,exc_DK,percent,%,25.1,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),TUV,TUV,Total,Total,exc_DK,percent,%,4.25,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),UKIP,UKIP,Total,Total,exc_DK,percent,%,1.16,0.9
N92000002,Northern Ireland,NI Assembly election voting intention — first preference (excl. non-voters),UUP,UUP,Total,Total,exc_DK,percent,%,13.9,0.9
