Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"NI WESTMINSTER ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 6: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think ",Turnout in the NI Westminster Election - 8th June,,Total,Total,,mean,score,61.36,0.95
N92000002,Northern Ireland,"NI WESTMINSTER ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 6: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think ",Turnout in the NI Westminster Election - 8th June,,Total,Total,,min,score,40.0,0.95
N92000002,Northern Ireland,"NI WESTMINSTER ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 6: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think ",Turnout in the NI Westminster Election - 8th June,,Total,Total,,max,score,80.0,0.95
N92000002,Northern Ireland,"NI WESTMINSTER ELECTION TURNOUT - YOUR OWN VIEW!: QUESTION 6: Taken 'in the round', and based on your own discussions with family, friends, work colleagues etc., what do you think ",Turnout in the NI Westminster Election - 8th June,,Total,Total,,std_dev,score,7.13,0.95
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),Alliance,Alliance,Total,Total,exc_DK,percent,%,10.2,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),DUP,DUP,Total,Total,exc_DK,percent,%,29.4,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),Green,Green,Total,Total,exc_DK,percent,%,1.8,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),NI Conservatives,NI Conservatives,Total,Total,exc_DK,percent,%,0.1,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),Others,Others,Total,Total,exc_DK,percent,%,1.2,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),PBP,PBP,Total,Total,exc_DK,percent,%,1.4,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),PUP,PUP,Total,Total,exc_DK,percent,%,0.3,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),SDLP,SDLP,Total,Total,exc_DK,percent,%,12.4,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),Sinn Féin,Sinn Féin,Total,Total,exc_DK,percent,%,27.7,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),TUV,TUV,Total,Total,exc_DK,percent,%,0.6,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),UKIP,UKIP,Total,Total,exc_DK,percent,%,0.1,0.9
N92000002,Northern Ireland,NI Westminster election voting intention — first preference (excl. non-voters),UUP,UUP,Total,Total,exc_DK,percent,%,14.8,0.9
