Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Total,Total,inc_DK,count,persons,956,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Total,Total,inc_DK,percent,%,29.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Gender,Female,inc_DK,count,persons,464,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Gender,Female,inc_DK,percent,%,27.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Gender,Male,inc_DK,count,persons,490,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Gender,Male,inc_DK,percent,%,30.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Age,18-24 years age-group,inc_DK,count,persons,87,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Age,18-24 years age-group,inc_DK,percent,%,34.0,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Age,25-44 years age-group,inc_DK,count,persons,387,0.85
N92000002,Northern Ireland,QUESTION 1. NI ASSEMBLY ELECTION: If a NI Assembly Election were to be held tomorrow which political party would you vote for as FIRST PREFERENCE? - including Don't Knows/Not Sures (currently) [MAINPollQuestion1FULLRESULTS],Sinn Féin,,Age,25-44 years age-group,inc_DK,percent,%,35.0,0.85
