DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,8.9,26.8,modelled
N20000002,3.6,3.1,modelled
N20000003,12.6,15.1,modelled
N20000004,45.4,53.8,modelled
N20000005,6.7,16.8,modelled
N20000006,40.5,49.3,modelled
N20000007,88.3,70.0,modelled
N20000008,54.8,56.1,modelled
N20000009,20.3,21.9,modelled
N20000010,5.9,24.6,modelled
N20000011,23.8,27.7,modelled
N20000012,19.5,22.5,modelled
N20000013,28.1,18.3,modelled
N20000014,36.6,46.7,modelled
N20000015,92.8,86.0,modelled
N20000016,53.6,56.7,modelled
N20000017,87.0,75.0,modelled
N20000018,83.5,74.3,modelled
N20000019,45.5,38.6,modelled
N20000020,53.7,47.2,modelled
N20000021,78.2,62.9,modelled
N20000022,95.5,92.0,modelled
N20000023,60.2,65.8,modelled
N20000024,81.3,72.0,modelled
N20000025,50.7,49.8,modelled
N20000026,4.2,8.4,modelled
N20000027,48.3,47.7,modelled
N20000028,60.5,66.1,modelled
N20000029,60.7,44.2,modelled
N20000030,13.3,18.8,modelled
N20000031,5.8,1.3,modelled
N20000032,83.9,88.5,modelled
N20000033,86.4,79.7,modelled
N20000034,85.6,81.1,modelled
N20000035,50.1,39.6,modelled
N20000036,48.4,44.0,modelled
N20000037,41.1,43.2,modelled
N20000038,37.9,25.5,modelled
N20000039,35.3,34.9,modelled
N20000040,55.8,49.9,modelled
N20000041,38.0,30.5,modelled
N20000042,38.4,29.2,modelled
N20000043,36.5,39.7,modelled
N20000044,40.8,37.8,modelled
N20000045,49.8,37.0,modelled
N20000046,17.9,28.8,modelled
N20000047,29.3,31.7,modelled
N20000048,45.7,36.9,modelled
N20000049,59.2,38.3,modelled
N20000050,15.3,16.8,modelled
N20000051,69.8,57.8,modelled
N20000052,31.3,31.2,modelled
N20000053,43.1,43.1,modelled
N20000054,11.6,24.6,modelled
N20000055,11.6,34.2,modelled
N20000056,27.6,43.6,modelled
N20000057,48.2,29.3,modelled
N20000058,18.3,45.1,modelled
N20000059,49.6,54.7,modelled
N20000060,41.1,31.3,modelled
N20000061,24.7,32.1,modelled
N20000062,17.6,32.0,modelled
N20000063,38.8,31.8,modelled
N20000064,33.7,31.9,modelled
N20000065,42.0,32.4,modelled
N20000066,51.4,42.4,modelled
N20000067,45.3,50.0,modelled
N20000068,38.8,39.1,modelled
N20000069,34.8,29.0,modelled
N20000070,32.2,26.8,modelled
N20000071,35.0,39.2,modelled
N20000072,26.8,27.4,modelled
N20000073,17.1,29.2,modelled
N20000074,12.6,21.8,modelled
N20000075,33.3,26.8,modelled
N20000076,43.4,36.7,modelled
N20000077,25.2,25.7,modelled
N20000078,17.5,22.2,modelled
N20000079,5.7,25.8,modelled
N20000080,24.2,21.6,modelled
N20000081,26.6,38.5,modelled
N20000082,9.6,18.4,modelled
N20000083,31.9,26.4,modelled
N20000084,39.9,34.8,modelled
N20000085,28.6,17.9,modelled
N20000086,2.8,11.1,modelled
N20000087,4.0,11.3,modelled
N20000088,2.5,15.3,modelled
N20000089,6.0,14.8,modelled
N20000090,6.2,21.5,modelled
N20000091,2.4,17.9,modelled
N20000092,6.6,13.8,modelled
N20000093,2.5,21.2,modelled
N20000094,4.4,14.2,modelled
N20000095,7.1,34.4,modelled
N20000096,3.4,27.6,modelled
N20000097,4.4,21.4,modelled
N20000098,3.1,22.4,modelled
N20000099,2.8,23.0,modelled
N20000100,4.4,12.2,modelled
N20000101,2.8,14.3,modelled
N20000102,8.5,27.6,modelled
N20000103,6.5,23.6,modelled
N20000104,4.1,39.1,modelled
N20000105,7.4,28.1,modelled
N20000106,7.5,19.2,modelled
N20000107,11.5,22.0,modelled
N20000108,6.6,23.3,modelled
N20000109,3.6,3.7,modelled
N20000110,3.0,17.1,modelled
N20000111,3.4,16.8,modelled
N20000112,6.5,17.8,modelled
N20000113,6.0,17.9,modelled
N20000114,3.4,11.4,modelled
N20000115,5.1,10.0,modelled
N20000116,8.1,20.6,modelled
N20000117,3.5,13.5,modelled
N20000118,2.6,11.6,modelled
N20000119,3.3,22.0,modelled
N20000120,3.7,16.3,modelled
N20000121,7.6,23.6,modelled
N20000122,4.8,14.3,modelled
N20000123,5.5,21.6,modelled
N20000124,9.6,25.2,modelled
N20000125,6.6,12.6,modelled
N20000126,15.4,20.3,modelled
N20000127,3.6,8.0,modelled
N20000128,16.1,15.1,modelled
N20000129,6.5,27.2,modelled
N20000130,7.7,16.9,modelled
N20000131,5.9,35.8,modelled
N20000132,23.5,18.0,modelled
N20000133,13.8,11.1,modelled
N20000134,26.9,16.8,modelled
N20000135,17.6,7.5,modelled
N20000136,9.1,6.8,modelled
N20000137,5.9,12.5,modelled
N20000138,5.0,12.0,modelled
N20000139,7.8,20.4,modelled
N20000140,28.1,30.4,modelled
N20000141,18.2,23.0,modelled
N20000142,4.0,29.9,modelled
N20000143,22.2,12.8,modelled
N20000144,13.4,24.0,modelled
N20000145,4.6,13.0,modelled
N20000146,5.5,37.5,modelled
N20000147,7.6,22.0,modelled
N20000148,12.9,22.5,modelled
N20000149,20.0,16.7,modelled
N20000150,1.9,15.7,modelled
N20000151,13.6,25.0,modelled
N20000152,28.0,15.6,modelled
N20000153,2.7,18.4,modelled
N20000154,3.1,34.6,modelled
N20000155,4.8,18.2,modelled
N20000156,14.2,19.3,modelled
N20000157,16.3,24.6,modelled
N20000158,18.4,15.2,modelled
N20000159,2.6,27.0,modelled
N20000160,28.3,35.9,modelled
N20000161,27.2,31.7,modelled
N20000162,18.6,26.8,modelled
N20000163,20.6,31.8,modelled
N20000164,28.9,21.1,modelled
N20000165,8.9,8.3,modelled
N20000166,23.2,18.6,modelled
N20000167,23.8,28.2,modelled
N20000168,6.5,12.2,modelled
N20000169,60.8,35.2,modelled
N20000170,6.8,29.2,modelled
N20000171,15.5,15.0,modelled
N20000172,39.9,37.5,modelled
N20000173,45.4,45.3,modelled
N20000174,2.9,21.0,modelled
N20000175,23.5,28.7,modelled
N20000176,8.7,21.4,modelled
N20000177,47.6,32.8,modelled
N20000178,53.2,55.5,modelled
N20000179,14.0,28.0,modelled
N20000180,1.9,20.4,modelled
N20000181,6.5,28.4,modelled
N20000182,3.7,34.0,modelled
N20000183,5.0,20.9,modelled
N20000184,3.4,29.3,modelled
N20000185,9.1,8.6,modelled
N20000186,31.0,19.2,modelled
N20000187,4.6,24.3,modelled
N20000188,23.4,27.2,modelled
N20000189,1.9,25.9,modelled
N20000190,5.6,17.8,modelled
N20000191,7.9,24.1,modelled
N20000192,3.5,22.2,modelled
N20000193,5.0,1.0,modelled
N20000194,3.1,26.5,modelled
N20000195,6.0,16.1,modelled
N20000196,6.5,13.9,modelled
N20000197,6.1,21.9,modelled
N20000198,5.6,11.1,modelled
N20000199,2.5,18.7,modelled
N20000200,6.2,15.0,modelled
N20000201,41.1,38.9,modelled
N20000202,3.3,21.7,modelled
N20000203,37.3,50.3,modelled
N20000204,33.2,29.9,modelled
N20000205,19.6,28.4,modelled
N20000206,23.3,20.2,modelled
N20000207,88.4,68.7,modelled
N20000208,81.6,64.9,modelled
N20000209,85.4,68.1,modelled
N20000210,86.2,66.8,modelled
N20000211,29.4,29.5,modelled
N20000212,5.1,29.2,modelled
N20000213,9.2,31.1,modelled
N20000214,10.6,14.5,modelled
N20000215,24.3,24.2,modelled
N20000216,12.9,21.7,modelled
N20000217,16.8,24.1,modelled
N20000218,17.7,26.5,modelled
N20000219,46.4,46.3,modelled
N20000220,19.8,26.3,modelled
N20000221,16.8,18.1,modelled
N20000222,20.3,31.1,modelled
N20000223,27.7,29.2,modelled
N20000224,38.0,27.5,modelled
N20000225,11.6,30.1,modelled
N20000226,28.1,25.0,modelled
N20000227,34.4,25.1,modelled
N20000228,15.3,21.9,modelled
N20000229,12.8,38.0,modelled
N20000230,29.9,35.3,modelled
N20000231,46.5,50.4,modelled
N20000232,51.6,48.2,modelled
N20000233,54.1,43.6,modelled
N20000234,54.7,50.2,modelled
N20000235,46.7,36.7,modelled
N20000236,38.6,42.7,modelled
N20000237,32.3,32.5,modelled
N20000238,67.8,54.3,modelled
N20000239,44.7,44.7,modelled
N20000240,54.3,41.8,modelled
N20000241,28.2,27.4,modelled
N20000242,23.7,25.9,modelled
N20000243,72.0,67.4,modelled
N20000244,77.0,63.6,modelled
N20000245,89.2,62.0,modelled
N20000246,79.9,68.5,modelled
N20000247,71.3,64.3,modelled
N20000248,27.7,21.7,modelled
N20000249,84.4,76.0,modelled
N20000250,85.6,73.8,modelled
N20000251,84.6,71.4,modelled
N20000252,83.1,69.6,modelled
N20000253,76.1,61.1,modelled
N20000254,81.4,62.8,modelled
N20000255,82.6,57.6,modelled
N20000256,82.2,71.4,modelled
N20000257,18.2,40.2,modelled
N20000258,14.7,25.0,modelled
N20000259,12.4,17.6,modelled
N20000260,16.5,31.7,modelled
N20000261,9.9,24.2,modelled
N20000262,16.1,22.3,modelled
N20000263,16.2,18.2,modelled
N20000264,28.6,36.1,modelled
N20000265,36.5,41.7,modelled
N20000266,17.6,23.4,modelled
N20000267,62.5,59.8,modelled
N20000268,30.9,39.2,modelled
N20000269,18.7,25.6,modelled
N20000270,70.6,56.6,modelled
N20000271,59.1,68.0,modelled
N20000272,65.1,57.1,modelled
N20000273,80.4,75.4,modelled
N20000274,11.2,14.5,modelled
N20000275,60.9,58.8,modelled
N20000276,68.5,65.2,modelled
N20000277,87.1,71.2,modelled
N20000278,18.3,19.6,modelled
N20000279,23.6,51.9,modelled
N20000280,16.3,26.0,modelled
N20000281,36.9,39.1,modelled
N20000282,55.7,51.3,modelled
N20000283,74.3,66.4,modelled
N20000284,80.7,66.2,modelled
N20000285,36.2,32.7,modelled
N20000286,85.0,69.4,modelled
N20000287,88.3,69.4,modelled
N20000288,62.9,55.1,modelled
N20000289,73.9,54.7,modelled
N20000290,73.1,70.2,modelled
N20000291,71.0,62.5,modelled
N20000292,85.8,79.7,modelled
N20000293,61.9,53.9,modelled
N20000294,89.5,69.5,modelled
N20000295,64.4,63.1,modelled
N20000296,56.2,49.1,modelled
N20000297,88.2,75.0,modelled
N20000298,90.5,82.3,modelled
N20000299,71.5,70.1,modelled
N20000300,85.2,64.9,modelled
N20000301,77.9,74.3,modelled
N20000302,62.7,57.8,modelled
N20000303,93.3,78.2,modelled
N20000304,62.5,48.1,modelled
N20000305,24.8,34.8,modelled
N20000306,56.0,60.4,modelled
N20000307,51.4,38.4,modelled
N20000308,50.8,53.2,modelled
N20000309,80.9,71.1,modelled
N20000310,61.8,46.6,modelled
N20000311,63.4,64.9,modelled
N20000312,79.6,75.0,modelled
N20000313,70.7,50.4,modelled
N20000314,27.6,57.5,modelled
N20000315,41.0,42.7,modelled
N20000316,82.5,81.9,modelled
N20000317,85.1,84.2,modelled
N20000318,87.9,74.4,modelled
N20000319,68.7,51.9,modelled
N20000320,25.9,38.2,modelled
N20000321,93.0,72.9,modelled
N20000322,92.2,93.1,modelled
N20000323,75.0,55.2,modelled
N20000324,47.4,40.4,modelled
N20000325,48.5,41.7,modelled
N20000326,10.2,25.9,modelled
N20000327,93.0,80.0,modelled
N20000328,49.5,60.6,modelled
N20000329,88.0,89.5,modelled
N20000330,82.9,91.6,modelled
N20000331,83.9,79.8,modelled
N20000332,60.6,54.9,modelled
N20000333,44.0,52.1,modelled
N20000334,52.1,57.3,modelled
N20000335,83.5,90.1,modelled
N20000336,69.7,76.2,modelled
N20000337,68.6,61.4,modelled
N20000338,25.4,36.1,modelled
N20000339,65.1,67.6,modelled
N20000340,31.9,35.7,modelled
N20000341,70.6,68.1,modelled
N20000342,88.0,81.1,modelled
N20000343,56.0,59.5,modelled
N20000344,56.8,62.5,modelled
N20000345,78.1,76.6,modelled
N20000346,64.1,63.3,modelled
N20000347,83.6,70.3,modelled
N20000348,88.8,89.8,modelled
N20000349,84.6,67.2,modelled
N20000350,89.8,90.7,modelled
N20000351,84.7,60.5,modelled
N20000352,83.4,68.8,modelled
N20000353,84.8,69.8,modelled
N20000354,79.6,76.9,modelled
N20000355,94.7,84.4,modelled
N20000356,53.3,56.0,modelled
N20000357,7.1,18.1,modelled
N20000358,36.8,35.9,modelled
N20000359,6.1,31.5,modelled
N20000360,46.9,47.5,modelled
N20000361,65.0,73.0,modelled
N20000362,20.7,33.8,modelled
N20000363,23.7,41.4,modelled
N20000364,34.2,37.1,modelled
N20000365,21.2,34.2,modelled
N20000366,23.3,31.4,modelled
N20000367,43.4,45.1,modelled
N20000368,15.6,43.2,modelled
N20000369,29.6,34.9,modelled
N20000370,89.7,73.0,modelled
N20000371,89.8,76.6,modelled
N20000372,88.2,86.4,modelled
N20000373,91.7,70.2,modelled
N20000374,88.0,66.8,modelled
N20000375,86.5,75.3,modelled
N20000376,87.7,60.7,modelled
N20000377,30.2,23.4,modelled
N20000378,94.9,72.8,modelled
N20000379,79.3,54.8,modelled
N20000380,78.0,84.1,modelled
N20000381,81.6,81.2,modelled
N20000382,74.8,40.4,modelled
N20000383,26.4,40.5,modelled
N20000384,11.1,22.3,modelled
N20000385,11.9,23.7,modelled
N20000386,76.3,38.9,modelled
N20000387,10.9,26.0,modelled
N20000388,11.7,15.3,modelled
N20000389,17.0,17.5,modelled
N20000390,18.1,28.3,modelled
N20000391,21.1,28.0,modelled
N20000392,9.1,24.9,modelled
N20000393,27.5,19.5,modelled
N20000394,9.7,4.9,modelled
N20000395,44.1,23.6,modelled
N20000396,11.2,18.0,modelled
N20000397,3.9,11.9,modelled
N20000398,33.0,22.6,modelled
N20000399,16.3,29.4,modelled
N20000400,47.4,13.7,modelled
N20000401,72.6,64.5,modelled
N20000402,18.8,21.5,modelled
N20000403,42.8,25.3,modelled
N20000404,18.9,17.4,modelled
N20000405,28.1,34.7,modelled
N20000406,6.8,18.6,modelled
N20000407,13.9,17.2,modelled
N20000408,19.4,24.7,modelled
N20000409,4.6,14.2,modelled
N20000410,17.3,26.2,modelled
N20000411,36.6,29.6,modelled
N20000412,20.6,30.3,modelled
N20000413,22.9,32.5,modelled
N20000414,19.1,30.7,modelled
N20000415,19.8,30.7,modelled
N20000416,33.5,41.3,modelled
N20000417,9.0,22.5,modelled
N20000418,40.3,41.8,modelled
N20000419,22.7,22.9,modelled
N20000420,18.2,20.5,modelled
N20000421,73.9,67.6,modelled
N20000422,76.5,65.6,modelled
N20000423,93.6,76.2,modelled
N20000424,83.2,72.3,modelled
N20000425,80.8,84.7,modelled
N20000426,96.0,77.6,modelled
N20000427,92.6,82.2,modelled
N20000428,91.6,63.5,modelled
N20000429,90.2,67.2,modelled
N20000430,22.2,24.8,modelled
N20000431,90.8,89.4,modelled
N20000432,92.9,79.6,modelled
N20000433,59.0,41.2,modelled
N20000434,53.7,53.7,modelled
N20000435,75.5,67.9,modelled
N20000436,59.3,41.9,modelled
N20000437,56.2,46.1,modelled
N20000438,52.8,32.7,modelled
N20000439,91.2,73.0,modelled
N20000440,20.9,30.3,modelled
N20000441,71.4,62.8,modelled
N20000442,76.9,70.0,modelled
N20000443,36.3,32.5,modelled
N20000444,52.5,39.3,modelled
N20000445,68.5,61.1,modelled
N20000446,33.7,32.2,modelled
N20000447,42.9,31.9,modelled
N20000448,84.2,77.0,modelled
N20000449,81.5,76.8,modelled
N20000450,9.9,17.5,modelled
N20000451,26.3,32.1,modelled
N20000452,80.8,65.0,modelled
N20000453,81.2,79.3,modelled
N20000454,82.3,62.2,modelled
N20000455,21.8,40.2,modelled
N20000456,14.7,33.8,modelled
N20000457,13.6,15.5,modelled
N20000458,42.3,39.1,modelled
N20000459,20.1,24.9,modelled
N20000460,17.7,22.7,modelled
N20000461,16.8,27.0,modelled
N20000462,7.2,14.9,modelled
N20000463,7.0,14.3,modelled
N20000464,12.2,20.7,modelled
N20000465,45.6,37.7,modelled
N20000466,8.3,22.3,modelled
N20000467,48.0,53.7,modelled
N20000468,19.6,20.7,modelled
N20000469,9.6,19.0,modelled
N20000470,8.8,19.4,modelled
N20000471,4.0,17.1,modelled
N20000472,12.3,15.8,modelled
N20000473,31.3,36.1,modelled
N20000474,14.4,19.0,modelled
N20000475,8.5,24.6,modelled
N20000476,78.9,60.9,modelled
N20000477,90.6,79.0,modelled
N20000478,80.0,67.1,modelled
N20000479,95.3,80.7,modelled
N20000480,96.4,71.7,modelled
N20000481,92.1,64.1,modelled
N20000482,61.0,54.8,modelled
N20000483,94.3,90.5,modelled
N20000484,92.8,74.1,modelled
N20000485,95.3,91.6,modelled
N20000486,93.9,77.8,modelled
N20000487,95.7,79.7,modelled
N20000488,56.8,51.7,modelled
N20000489,95.2,75.6,modelled
N20000490,93.8,82.5,modelled
N20000491,95.7,82.5,modelled
N20000492,95.5,71.1,modelled
N20000493,94.8,77.2,modelled
N20000494,95.8,89.1,modelled
N20000495,93.5,84.3,modelled
N20000496,85.7,67.2,modelled
N20000497,95.9,84.5,modelled
N20000498,66.1,70.5,modelled
N20000499,97.7,89.4,modelled
N20000500,79.6,72.3,modelled
N20000501,25.0,44.8,modelled
N20000502,29.8,24.7,modelled
N20000503,92.6,68.9,modelled
N20000504,74.9,68.4,modelled
N20000505,85.0,71.1,modelled
N20000506,79.3,59.7,modelled
N20000507,29.8,33.8,modelled
N20000508,85.1,66.1,modelled
N20000509,82.3,75.9,modelled
N20000510,13.9,26.1,modelled
N20000511,95.0,78.3,modelled
N20000512,72.3,52.4,modelled
N20000513,36.7,31.9,modelled
N20000514,24.4,34.7,modelled
N20000515,35.9,41.5,modelled
N20000516,85.0,76.3,modelled
N20000517,7.7,26.9,modelled
N20000518,5.0,9.9,modelled
N20000519,15.6,22.0,modelled
N20000520,7.2,15.6,modelled
N20000521,34.4,24.2,modelled
N20000522,92.4,81.7,modelled
N20000523,13.9,23.1,modelled
N20000524,74.7,62.8,modelled
N20000525,54.9,42.1,modelled
N20000526,20.3,30.7,modelled
N20000527,29.8,40.9,modelled
N20000528,90.9,72.1,modelled
N20000529,19.8,33.3,modelled
N20000530,93.7,86.2,modelled
N20000531,8.3,13.7,modelled
N20000532,83.4,66.1,modelled
N20000533,13.9,18.0,modelled
N20000534,21.1,44.1,modelled
N20000535,84.0,87.9,modelled
