DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000001,738.0,74.5807679567688,2.849524656777391,16.26228521619094,1.8646558447869084,4.442766323954652,6.190186537439144e-10,1.6891673239901616e-10,1.767817862962404e-10,2.3231920519453246e-10,3.549468714237678e-11,2.8877095006937287e-10
N20000002,331.0,28.56336793767231,1.0922967896602707,44.83720176085673,0.6026630340582217,24.904470472746695,3.394086567569562e-09,1.4488754038069083e-10,5.166632029537841e-10,3.2399710937479023e-10,4.092954965958675e-10,2.1684421169338775e-10
N20000003,365.0,36.623536946265645,1.301283471225165,51.38305172521937,1.6771885213407378,9.01493932866396,4.935408505122804e-09,4.509351419197387e-10,5.43548392075864e-10,5.269904852574836e-10,5.546722797277475e-10,2.7356792543341377e-10
N20000004,663.0,26.872305579121807,6.034514018159686,29.510293905475503,32.35190224971797,5.230984244951442,1.1542036222027492e-10,5.770451849071387e-10,3.015600947883633e-10,5.097617563223512e-10,3.805638095135665e-10,6.892382388723412e-10
N20000005,676.0,61.68623796142919,0.8428319059991262,24.425910748249475,2.6527065655910333,10.392312815914542,1.03411122893403e-09,3.888871892819706e-10,4.2486872550964454e-10,4.068253928284354e-10,1.893137762916495e-10,3.726280618270929e-10
N20000006,464.0,31.110312323975926,18.35449863201833,32.679608248033325,11.507093326954168,6.34848746686573,1.8488910939849968e-10,3.880392045427162e-10,5.228933575557602e-10,3.8007353745984287e-10,4.2955688553313356e-11,6.336918775091776e-10
N20000007,880.0,3.444973684889363,65.72587813189378,6.814082430449949,21.292184058678394,2.722881692223263,1.8246629410437213e-10,2.65258964054616e-10,6.807041778661091e-10,4.1876946737510663e-10,2.647414091472394e-10,5.331664971273331e-11
N20000008,642.0,22.720294043037256,33.3061045340121,21.585059676566594,18.791979250918352,3.5965624940947003,3.68958497488192e-10,9.315350778212696e-11,2.8715291995575764e-10,3.365428987420934e-10,1.8073510766478483e-10,1.0446599337262824e-10
N20000009,401.0,65.3518205110295,1.841304881176922,25.72506561154075,1.0870573693608208,5.994751625256529,3.8943407778018545e-10,3.3705023635024905e-10,2.3434660974140495e-10,2.7985148239635464e-10,2.516917541188989e-10,1.4311003034770112e-10
N20000010,544.0,54.59059704722248,2.204047930042843,28.23085955474724,2.6822299339307434,12.29226553124949,1.0509860562892956e-09,4.76036369296715e-10,4.00403335281872e-10,4.1308546726526547e-10,1.2405578172339912e-10,3.4262546048720496e-10
N20000011,525.0,31.779450139216888,6.5058568932259,37.68704797186149,12.32461282194183,11.703032163267304,2.742576369447068e-09,1.399846642122209e-09,4.704700771416217e-10,6.928362880548493e-10,1.6811665440795898e-09,3.499686660861704e-09
N20000012,503.0,39.69185290730469,9.158583149076767,19.108816269210006,6.051582136271276,25.98916552865593,2.2401082395880136e-09,1.6171631860509876e-09,1.1818599720931174e-09,6.029060880721044e-10,3.234749496534338e-09,6.045327115448258e-10
