con,coal_rate,recruit_rate,cath_bg,recruit_share_of_coal
BELFAST WEST,70.4,4.1,79.0,5.8
FOYLE,68.0,4.2,75.0,6.1
SOUTH DOWN,64.5,4.3,68.0,6.7
WEST TYRONE,64.2,4.4,69.0,6.8
MID ULSTER,63.5,4.4,67.0,6.9
NEWRY AND ARMAGH,63.5,4.4,67.0,6.9
FERMANAGH AND SOUTH TYRONE,58.9,4.6,58.0,7.8
BELFAST SOUTH,55.2,4.7,45.0,8.4
BELFAST NORTH,54.6,4.7,47.0,8.7
UPPER BANN,52.5,4.9,45.0,9.2
EAST LONDONDERRY,50.3,5.0,42.0,9.9
SOUTH ANTRIM,46.5,5.1,33.0,11.0
NORTH ANTRIM,43.2,5.3,29.0,12.2
LAGAN VALLEY,41.0,5.3,23.0,13.0
EAST ANTRIM,39.5,5.4,20.0,13.7
STRANGFORD,38.2,5.5,17.0,14.3
BELFAST EAST,37.6,5.5,14.0,14.5
NORTH DOWN,37.2,5.5,13.0,14.7
