year,contest,u_openness,n_openness
1977,local,5.4,17.5
1979,European,0.0,100.0
1981,local,4.0,9.0
1982,Assembly,2.6,13.7
1983,Assembly,,
1984,Assembly,,
1984,European,,
1985,Assembly,,
1985,local,3.2,9.6
1989,European,,
1989,local,4.5,5.7
1993,local,5.2,6.5
1994,European,,
1997,local,4.2,10.9
1998,Assembly,6.2,10.8
1999,European,,
2001,local,7.0,6.4
2003,Assembly,11.1,6.6
2004,European,,
2005,local,11.1,9.8
2007,Assembly,10.8,17.2
2009,European,,
2011,Assembly,10.6,14.1
2011,local,11.8,15.6
2014,European,,
2014,local,3.0,15.9
2016,Assembly,8.5,22.0
2017,Assembly,15.1,48.1
2019,European,15.7,65.5
2019,local,12.5,13.5
2022,Assembly,21.4,40.7
2023,local,14.9,31.6
