DZ21,label,con,yes_raw,yes,pop
N20000001,Dunsilly_A1,SOUTH ANTRIM,14.24,23.9,594.0
N20000004,Dunsilly_A3,SOUTH ANTRIM,36.08,45.8,520.0
N20000005,Dunsilly_B2,SOUTH ANTRIM,11.81,21.5,556.0
N20000006,Dunsilly_A4,SOUTH ANTRIM,29.66,39.4,357.0
N20000007,Dunsilly_C1,SOUTH ANTRIM,62.41,72.1,714.0
N20000008,Dunsilly_A5,SOUTH ANTRIM,40.87,50.6,512.0
N20000009,Dunsilly_A6,SOUTH ANTRIM,19.9,29.6,313.0
N20000010,Dunsilly_B3,SOUTH ANTRIM,11.7,21.4,443.0
N20000011,Dunsilly_D1,SOUTH ANTRIM,24.14,33.8,409.0
N20000012,Dunsilly_D2,SOUTH ANTRIM,19.91,29.6,448.0
N20000013,Dunsilly_F1,SOUTH ANTRIM,27.5,37.2,359.0
N20000015,Dunsilly_C2,SOUTH ANTRIM,64.12,73.8,451.0
N20000016,Dunsilly_E1,SOUTH ANTRIM,42.31,52.0,360.0
N20000017,Dunsilly_E2,SOUTH ANTRIM,62.57,72.3,527.0
N20000018,Dunsilly_E3,SOUTH ANTRIM,60.8,70.5,376.0
N20000019,Dunsilly_D4,SOUTH ANTRIM,36.37,46.1,351.0
N20000020,Dunsilly_D5,SOUTH ANTRIM,41.21,50.9,452.0
N20000022,Dunsilly_C3,SOUTH ANTRIM,64.0,73.7,307.0
N20000023,Dunsilly_D6,SOUTH ANTRIM,44.04,53.7,401.0
N20000025,Dunsilly_F2,SOUTH ANTRIM,36.26,45.9,263.0
N20000026,Dunsilly_B4,SOUTH ANTRIM,10.62,20.3,481.0
N20000027,Dunsilly_F3,SOUTH ANTRIM,38.71,48.4,361.0
N20000028,Dunsilly_F4,SOUTH ANTRIM,44.24,53.9,432.0
N20000030,Dunsilly_B5,SOUTH ANTRIM,15.75,25.4,402.0
N20000031,Dunsilly_B6,SOUTH ANTRIM,11.51,21.2,450.0
N20000032,Dunsilly_F6,SOUTH ANTRIM,61.23,70.9,349.0
N20000033,Dunsilly_F7,SOUTH ANTRIM,60.57,70.3,415.0
N20000034,Dunsilly_F8,SOUTH ANTRIM,61.97,71.7,335.0
N20000035,Antrim_A1,SOUTH ANTRIM,40.97,50.7,495.0
N20000036,Antrim_A2,SOUTH ANTRIM,39.88,49.6,263.0
N20000037,Antrim_A3,SOUTH ANTRIM,39.09,48.8,288.0
N20000038,Antrim_B1,SOUTH ANTRIM,33.29,43.0,491.0
N20000039,Antrim_B2,SOUTH ANTRIM,29.93,39.6,437.0
N20000040,Antrim_A4,SOUTH ANTRIM,45.99,55.7,243.0
N20000041,Antrim_C1,SOUTH ANTRIM,33.53,43.2,735.0
