cy,akey,ctype,seats_total,has_prior,scale,err
local2014,Airport,local,5.0,1.0,dea,2.0
local2014,Antrim,local,6.0,1.0,dea,2.0
local2014,Ards Peninsula,local,6.0,1.0,dea,2.0
local2014,Armagh,local,6.0,1.0,dea,2.0
local2014,Ballyarnett,local,6.0,1.0,dea,4.0
local2014,Ballyclare,local,5.0,1.0,dea,4.0
local2014,Ballymena,local,7.0,1.0,dea,6.0
local2014,Ballymoney,local,7.0,1.0,dea,2.0
local2014,Balmoral,local,5.0,1.0,dea,2.0
local2014,Banbridge,local,7.0,1.0,dea,4.0
local2014,Bangor Central,local,6.0,1.0,dea,2.0
local2014,Bangor East and Donaghadee,local,6.0,1.0,dea,2.0
local2014,Bangor West,local,5.0,1.0,dea,2.0
local2014,Bann,local,5.0,1.0,dea,4.0
local2014,Bannside,local,6.0,1.0,dea,0.0
local2014,Benbradagh,local,5.0,1.0,dea,2.0
local2014,Black Mountain,local,7.0,1.0,dea,0.0
local2014,Botanic,local,5.0,1.0,dea,2.0
local2014,Braid,local,7.0,1.0,dea,4.0
local2014,Carntogher,local,5.0,1.0,dea,0.0
local2014,Carrick Castle,local,5.0,1.0,dea,4.0
local2014,Castle,local,6.0,1.0,dea,2.0
local2014,Castlereagh East,local,6.0,1.0,dea,2.0
local2014,Castlereagh South,local,7.0,1.0,dea,6.0
local2014,Causeway,local,7.0,1.0,dea,4.0
local2014,Clogher Valley,local,6.0,1.0,dea,0.0
local2014,Coast Road,local,5.0,1.0,dea,2.0
local2014,Coleraine,local,6.0,1.0,dea,2.0
local2014,Collin,local,6.0,1.0,dea,2.0
local2014,Comber,local,5.0,1.0,dea,2.0
local2014,Cookstown,local,7.0,1.0,dea,2.0
local2014,Court,local,6.0,1.0,dea,4.0
local2014,Craigavon,local,5.0,1.0,dea,2.0
local2014,Crotlieve,local,6.0,1.0,dea,4.0
local2014,Cusher,local,5.0,1.0,dea,4.0
local2014,Derg,local,5.0,1.0,dea,2.0
local2014,Downpatrick,local,5.0,1.0,dea,2.0
local2014,Downshire East,local,5.0,1.0,dea,0.0
local2014,Downshire West,local,5.0,1.0,dea,2.0
local2014,Dungannon,local,6.0,1.0,dea,2.0
local2014,Dunsilly,local,5.0,1.0,dea,2.0
local2014,Enniskillen,local,6.0,1.0,dea,2.0
local2014,Erne East,local,6.0,1.0,dea,0.0
local2014,Erne North,local,5.0,1.0,dea,2.0
local2014,Erne West,local,5.0,1.0,dea,0.0
local2014,Faughan,local,5.0,1.0,dea,4.0
local2014,Foyleside,local,5.0,1.0,dea,4.0
local2014,Glengormley Urban,local,7.0,1.0,dea,4.0
local2014,Holywood and Clandeboye,local,5.0,1.0,dea,2.0
local2014,Killultagh,local,5.0,1.0,dea,4.0
local2014,Knockagh,local,5.0,1.0,dea,2.0
local2014,Lagan River,local,5.0,1.0,dea,2.0
local2014,Larne Lough,local,5.0,1.0,dea,2.0
local2014,Limavady,local,5.0,1.0,dea,2.0
local2014,Lisburn North,local,6.0,1.0,dea,4.0
local2014,Lisburn South,local,6.0,1.0,dea,2.0
local2014,Lisnasharragh,local,6.0,1.0,dea,2.0
local2014,Lurgan,local,7.0,1.0,dea,2.0
local2014,Macedon,local,6.0,1.0,dea,2.0
local2014,Magherafelt,local,5.0,1.0,dea,2.0
local2014,Mid Tyrone,local,6.0,1.0,dea,2.0
local2014,Moyola,local,5.0,1.0,dea,0.0
local2014,Newry,local,6.0,1.0,dea,0.0
local2014,Newtownards,local,7.0,1.0,dea,2.0
local2014,Oldpark,local,6.0,1.0,dea,2.0
local2014,Omagh,local,6.0,1.0,dea,4.0
local2014,Ormiston,local,7.0,1.0,dea,2.0
local2014,Portadown,local,6.0,1.0,dea,4.0
local2014,Rowallane,local,5.0,1.0,dea,0.0
local2014,Slieve Croob,local,5.0,1.0,dea,0.0
local2014,Slieve Gullion,local,7.0,1.0,dea,2.0
local2014,Sperrin,local,7.0,1.0,dea,2.0
local2014,The Glens,local,5.0,1.0,dea,2.0
local2014,The Moor,local,5.0,1.0,dea,2.0
local2014,The Mournes,local,7.0,1.0,dea,4.0
local2014,Three Mile Water,local,6.0,1.0,dea,2.0
local2014,Titanic,local,6.0,1.0,dea,2.0
local2014,Torrent,local,6.0,1.0,dea,2.0
local2014,Waterside,local,7.0,1.0,dea,4.0
local2014,West Tyrone,local,6.0,1.0,dea,0.0
local2019,Airport,local,5.0,1.0,dea,2.0
local2019,Antrim,local,6.0,1.0,dea,2.0
local2019,Ards Peninsula,local,6.0,1.0,dea,0.0
local2019,Armagh,local,6.0,1.0,dea,2.0
local2019,Ballyarnett,local,6.0,1.0,dea,4.0
local2019,Ballyclare,local,5.0,1.0,dea,0.0
local2019,Ballymena,local,7.0,1.0,dea,6.0
