con,age__Age 0-4 years,age__Age 5-7 years,age__Age 8-9 years,age__Age 10-14 years,age__Age 15 years,age__Age 16-17 years,age__Age 18-19 years,age__Age 20-24 years,age__Age 25-29 years,age__Age 30-44 years,age__Age 45-59 years,age__Age 60-64 years,age__Age 65-74 years,age__Age 75-84 years,age__Age 85-89 years,age__Age 90+ years,natid__British only,natid__Irish only,natid__Northern Irish only,natid__British and Irish only,natid__British and Northern Irish only,natid__Irish and Northern Irish only,"natid__British, Irish and Northern Irish only",natid__Other,passport__No passport,passport__United Kingdom only,passport__Ireland only,passport__United Kingdom and Ireland only,passport__United Kingdom and other (not Ireland),passport__Ireland and other (not United Kingdom),passport__EU/EEA (not United Kingdom or Ireland),passport__Other,lang__English: Aged 3+ years,lang__Polish: Aged 3+ years,lang__Lithuanian: Aged 3+ years,lang__Irish (Gaelic): Aged 3+ years,lang__Portuguese: Aged 3+ years,lang__Slovak: Aged 3+ years,lang__Chinese: Aged 3+ years,lang__Tagalog/Filipino: Aged 3+ years,lang__Latvian: Aged 3+ years,lang__Russian: Aged 3+ years,lang__Malayalam: Aged 3+ years,lang__Hungarian: Aged 3+ years,lang__Other: Aged 3+ years,rel__Catholic,rel__Presbyterian Church in Ireland,rel__Church of Ireland,rel__Methodist Church in Ireland,rel__Other Christian (including Christian rel,rel__Other religions,rel__No religion,rel__Religion not stated,relbup__Catholic,relbup__Protestant and Other Christian (includin,relbup__Other religions,relbup__None,health__Day-to-day activities limited a lot,health__Day-to-day activities limited a little,health__Day-to-day activities not limited,health__Day-to-day activities limited a lot: Age,health__Day-to-day activities limited a little: ,health__Day-to-day activities not limited: Aged ,health__Very good health,health__Good health,health__Fair health,health__Bad health,health__Very bad health,health__Provides no unpaid care,health__Provides 1-19 hours unpaid care per week,health__Provides 20-49 hours unpaid care per wee,health__Provides 50+ hours unpaid care per week,tenure__Detached,tenure__Semi-detached,tenure__Terraced (including end-terrace),tenure__Purpose-built block of flats or tenement,tenure__Part of a converted or shared house (inc,tenure__In a commercial building,tenure__Caravan or other mobile or temporary str,qual__Aged 16+ years,qual__Level 1 qualifications: Aged 16+ years,qual__Level 2 qualifications: Aged 16+ years,qual__Apprenticeship: Aged 16+ years,qual__Level 3 qualifications: Aged 16+ years,qual__Level 4 qualifications and above: Aged 1,qual__Other qualifications: Aged 16+ years,qual__Aged 18-74 years: Economically active: I,qual__Aged 18-74 years: Economically active: U,qual__Aged 18-74 years: Economically Inactive,econ__Employee: Part-time: Aged 16-74 years,econ__Employee: Full-time: Aged 16-74 years,econ__Self-employed: Aged 16-74 years,econ__Unemployed: Aged 16-74 years,econ__Full-time student: Aged 16-74 years,econ__Retired: Aged 16-74 years,econ__Student (including full-time students): ,econ__Looking after home or family: Aged 16-74,econ__Long-term sick or disabled: Aged 16-74 y,econ__Other: Aged 16-74 years,econ__Aged 16-74 years,econ__Aged 16-24 years,econ__Aged 50-74 years,econ__Never worked: Aged 16-74 years,nssec__1.1 Large employers and higher manageria,nssec__1.2 Higher professional occupations: Age,"nssec__2. Lower managerial, administrative and ",nssec__3. Intermediate occupations: Aged 16-74 ,nssec__4. Small employers and own account worke,nssec__5. Lower supervisory and technical occup,nssec__6. Semi-routine occupations: Aged 16-74 ,nssec__7. Routine occupations: Aged 16-74 years,nssec__L14.1 Never worked: Aged 16-74 years,nssec__L14.2 Long-term unemployed: Aged 16-74 y,nssec__Not classified: Full-time students: Aged,sex__Males,sex__Females,sex__Lives in a household,sex__Lives in a communal establishment
Belfast East,6.44,3.2,2.01,5.71,1.17,2.38,2.39,5.93,7.17,21.93,19.45,4.86,8.59,6.19,1.75,0.84,57.16,6.57,17.54,0.68,9.99,0.48,1.58,6.0,14.4,74.28,5.45,1.71,0.38,0.09,2.32,1.38,96.32,1.44,0.09,0.1,0.04,0.24,0.19,0.34,0.01,0.05,0.09,0.04,1.05,9.52,27.54,18.45,7.31,9.56,1.26,19.05,7.29,12.7,75.4,1.44,10.47,12.59,9.7,77.71,9.09,7.43,83.49,44.55,32.92,16.24,4.98,1.31,87.41,7.48,1.84,3.26,15.2,32.74,34.17,16.57,1.1,0.23,0.0,27.77,11.22,13.66,4.55,11.21,27.4,4.19,45.63,7.32,47.05,13.75,40.85,6.47,4.24,3.0,14.15,4.65,3.83,6.71,2.34,43.53,28.29,17.42,16.5,1.74,8.51,21.2,15.03,5.66,6.86,15.8,12.1,3.74,1.85,7.5,47.8,52.2,98.9,1.1
Belfast North,7.13,3.64,2.29,6.16,1.24,2.81,2.69,6.92,7.4,19.82,19.0,4.88,8.24,5.76,1.38,0.66,41.04,26.94,19.6,0.64,5.52,1.02,0.91,4.33,18.55,59.36,17.57,1.58,0.21,0.08,1.73,0.92,96.94,1.11,0.07,0.39,0.06,0.12,0.1,0.22,0.02,0.02,0.13,0.05,0.78,40.84,16.25,12.04,4.94,4.53,0.93,11.14,9.32,46.94,45.67,1.04,6.36,16.36,9.89,73.75,13.68,8.47,77.85,42.33,30.89,17.72,7.0,2.05,87.48,6.22,2.4,3.89,12.56,32.26,36.81,16.23,1.87,0.25,0.03,35.64,13.09,14.22,3.96,10.83,18.66,3.6,43.92,8.9,47.19,14.02,33.5,4.63,6.34,3.51,13.2,5.41,5.2,10.63,3.57,44.79,29.72,15.67,20.52,1.05,4.86,15.61,13.15,5.04,7.11,18.14,16.08,7.41,2.84,8.7,47.89,52.11,98.98,1.02
Belfast South,5.43,2.76,1.72,4.96,1.0,2.17,4.45,12.29,9.58,20.83,17.18,4.11,6.66,4.9,1.3,0.65,34.16,25.39,20.04,1.15,6.16,1.81,1.95,9.35,11.15,58.28,20.63,2.85,0.49,0.25,3.17,3.18,93.68,1.58,0.1,0.27,0.07,0.22,0.76,0.25,0.05,0.09,0.13,0.12,2.69,37.52,14.18,11.46,3.65,5.45,2.5,17.88,7.35,44.01,43.65,2.8,9.54,9.51,7.65,82.85,6.6,5.69,87.71,51.82,30.99,12.57,3.63,0.99,88.68,7.35,1.58,2.39,16.52,26.66,33.89,17.91,4.63,0.39,0.01,18.57,7.63,10.95,2.52,17.18,38.99,4.15,44.38,7.12,48.5,10.57,39.78,6.59,3.99,8.68,10.27,9.93,2.88,5.05,2.27,40.32,29.0,16.07,16.24,1.57,13.42,21.6,12.01,4.56,4.95,10.49,7.83,3.53,1.61,18.44,48.65,51.35,97.21,2.79
Belfast West,7.34,3.97,2.51,7.57,1.62,3.45,3.41,7.95,7.52,19.03,18.63,4.47,6.83,4.25,1.0,0.45,18.13,56.48,18.49,0.61,2.02,1.34,0.47,2.46,19.16,40.74,36.77,1.72,0.13,0.11,0.71,0.67,97.2,0.35,0.04,1.41,0.02,0.04,0.03,0.25,0.02,0.01,0.05,0.02,0.54,72.61,4.72,5.22,0.94,1.45,0.51,4.45,10.09,80.08,16.65,0.58,2.69,18.2,9.2,72.59,16.46,8.49,75.05,44.37,28.12,16.9,8.06,2.54,86.73,5.84,2.9,4.53,9.25,32.81,44.43,12.79,0.47,0.22,0.02,38.07,13.95,15.2,3.66,11.27,14.95,2.89,39.56,10.61,49.83,14.63,28.13,4.01,6.97,4.23,11.16,6.93,6.37,13.43,4.14,44.18,33.33,14.0,25.43,0.7,3.18,13.39,13.15,4.81,6.36,17.26,16.55,10.58,3.08,10.94,47.38,52.62,99.14,0.86
East Antrim,5.98,3.6,2.29,6.43,1.37,2.79,3.17,6.69,5.53,19.71,20.93,5.68,8.8,5.22,1.21,0.62,56.65,7.86,19.1,0.64,10.14,0.5,1.23,3.87,16.69,73.34,6.46,1.43,0.34,0.07,0.82,0.86,98.47,0.29,0.05,0.04,0.06,0.04,0.23,0.04,0.02,0.05,0.06,0.01,0.64,17.68,30.44,15.48,6.01,8.15,0.89,15.43,5.92,20.39,70.11,0.97,8.53,10.79,9.26,79.95,8.07,7.54,84.39,46.38,33.78,14.97,3.91,0.96,87.49,7.59,1.76,3.17,38.52,24.31,26.12,10.08,0.59,0.28,0.09,25.27,12.19,15.68,5.41,13.76,23.88,3.83,42.06,8.88,49.06,13.4,38.55,7.63,4.21,4.2,14.79,6.04,3.51,5.58,2.09,43.79,29.67,20.74,13.47,1.65,6.3,19.56,14.51,7.93,8.08,15.22,11.83,2.99,1.84,10.1,48.65,51.35,97.64,2.36
East Londonderry,6.33,3.62,2.41,6.78,1.4,2.82,3.18,6.98,5.97,20.29,19.74,5.47,8.61,4.7,1.17,0.52,44.63,19.65,22.61,0.65,6.36,0.96,1.0,4.15,22.85,59.12,14.26,1.41,0.22,0.11,1.37,0.65,97.95,1.03,0.05,0.11,0.01,0.03,0.12,0.07,0.03,0.04,0.02,0.01,0.54,38.39,23.52,17.65,1.06,4.7,0.61,8.45,5.62,41.7,53.27,0.68,4.35,10.93,8.97,80.09,8.92,7.74,83.33,47.25,32.97,14.9,3.95,0.94,89.47,5.9,1.76,2.87,46.29,26.18,18.69,7.53,0.8,0.42,0.09,30.9,11.46,14.99,3.92,12.6,22.18,3.94,37.59,8.11,54.3,12.64,31.08,10.01,5.58,4.0,13.75,7.09,4.92,7.02,3.91,46.6,28.49,16.12,15.48,1.09,5.13,17.0,11.53,11.23,6.76,14.95,13.44,5.35,2.6,10.91,49.4,50.6,98.0,2.0
Fermanagh and South Tyrone,7.13,3.89,2.59,6.79,1.36,2.91,2.37,6.53,6.93,20.92,19.1,5.35,7.77,4.63,1.17,0.57,32.09,31.47,22.57,0.48,3.74,1.13,0.61,7.9,23.6,44.52,24.29,1.3,0.15,0.16,5.43,0.54,93.92,1.82,1.76,0.19,0.63,0.12,0.05,0.05,0.21,0.18,0.07,0.09,0.89,53.08,6.67,20.85,3.52,4.45,0.55,4.73,6.15,57.69,39.1,0.61,2.6,10.78,8.59,80.63,8.37,7.03,84.59,49.16,32.08,14.39,3.47,0.9,89.31,6.1,1.9,2.69,57.04,23.3,14.6,3.64,0.58,0.57,0.28,31.87,11.18,14.66,3.51,10.92,21.24,6.62,35.78,5.42,58.8,12.95,35.63,11.96,4.67,2.73,11.8,5.98,4.63,6.25,3.39,45.2,25.55,16.74,17.12,1.14,4.6,16.07,10.36,12.95,7.17,17.0,14.75,5.31,2.11,8.53,50.13,49.87,99.03,0.97
Foyle,6.99,3.8,2.59,7.26,1.61,3.26,3.18,7.35,7.49,20.39,19.18,4.96,7.06,3.76,0.76,0.35,19.41,52.54,19.4,0.49,2.39,1.63,0.63,3.5,18.82,35.02,42.63,1.43,0.11,0.18,0.98,0.83,98.04,0.54,0.06,0.34,0.02,0.01,0.09,0.06,0.01,0.03,0.1,0.01,0.69,67.5,8.94,7.61,0.79,1.7,0.7,4.62,8.15,75.12,22.02,0.79,2.07,13.93,8.74,77.33,12.61,8.05,79.35,48.25,29.4,15.27,5.52,1.56,88.62,5.89,2.1,3.39,23.14,32.35,32.74,10.16,1.3,0.28,0.03,32.52,11.67,14.77,3.45,12.43,21.82,3.34,34.72,11.01,54.26,12.82,29.32,6.1,7.64,4.28,11.96,7.64,5.65,10.89,3.7,48.3,28.31,13.59,22.93,1.21,4.64,16.71,11.16,6.39,6.61,15.87,14.04,8.05,3.69,11.63,48.68,51.32,98.63,1.37
Lagan Valley,7.0,3.69,2.34,6.2,1.33,2.67,2.39,5.86,6.15,21.34,19.75,5.48,8.8,5.16,1.17,0.66,56.17,8.42,18.24,0.71,9.42,0.57,1.44,5.03,15.42,73.01,7.02,1.79,0.32,0.08,1.53,0.82,97.73,0.71,0.29,0.06,0.05,0.03,0.09,0.13,0.05,0.06,0.13,0.04,0.64,16.49,25.17,23.02,4.62,9.7,0.92,14.45,5.64,19.02,71.93,0.99,8.06,9.86,8.48,81.66,7.11,6.8,86.08,49.43,32.56,13.6,3.53,0.88,87.96,7.46,1.69,2.88,41.5,26.5,23.27,8.01,0.38,0.21,0.14,24.45,11.5,15.27,4.55,12.13,28.07,4.03,43.81,6.78,49.41,13.64,40.6,9.32,3.41,3.0,14.24,5.07,3.71,4.74,2.27,42.95,28.3,19.19,10.79,2.07,8.17,22.17,14.71,9.19,6.7,14.4,10.66,2.52,1.46,7.95,49.18,50.82,98.4,1.6
Mid Ulster,7.81,4.22,2.69,7.06,1.5,3.11,2.7,7.37,7.11,21.6,17.75,4.69,6.94,3.99,0.96,0.5,26.26,38.43,25.01,0.49,3.16,1.66,0.51,4.48,25.01,44.43,25.52,1.65,0.13,0.17,2.76,0.34,96.58,0.87,0.67,0.33,0.31,0.4,0.04,0.02,0.15,0.17,0.01,0.06,0.37,62.49,11.24,11.21,0.74,4.4,0.38,3.8,5.73,66.72,30.78,0.44,2.06,11.22,8.5,80.27,9.33,7.41,83.26,49.02,30.95,14.76,4.13,1.14,89.15,6.09,1.98,2.78,57.18,24.11,15.41,2.25,0.29,0.36,0.4,32.22,11.45,15.12,4.24,11.85,20.53,4.58,32.53,4.88,62.59,12.33,33.99,11.91,4.7,2.97,10.75,7.27,5.21,7.5,3.37,44.01,28.73,16.02,15.18,1.23,4.39,16.23,9.5,13.48,6.96,14.29,16.34,5.46,2.07,10.06,50.02,49.98,99.34,0.66
