contest,year,area,nat_pct,total
assembly,1998,Belfast East,5.1,39593
assembly,1998,Foyle,73.86,48794
assembly,1998,Newry and Armagh,60.97,54136
assembly,1998,Upper Bann,38.56,50399
assembly,1998,Strangford,10.44,42922
assembly,1998,North Down,5.49,37313
assembly,1998,Belfast West,85.36,41794
assembly,1998,North Antrim,26.03,49697
assembly,1998,Mid Ulster,63.43,49798
assembly,1998,South Down,60.67,51353
assembly,1998,Belfast North,42.9,41125
assembly,1998,West Tyrone,60.15,45951
assembly,1998,East Antrim,8.01,35610
assembly,1998,Fermanagh and South Tyrone,48.43,51043
assembly,1998,East Londonderry,33.43,39564
assembly,1998,South Antrim,25.03,43991
assembly,1998,Lagan Valley,13.43,46510
assembly,1998,Belfast South,28.53,40724
assembly,2003,Lagan Valley,15.69,41254
assembly,2003,Belfast East,7.34,30965
assembly,2003,Belfast North,44.08,31532
assembly,2003,Strangford,10.77,37250
assembly,2003,Upper Bann,38.08,43482
assembly,2003,North Antrim,27.67,44099
assembly,2003,South Antrim,25.92,37421
assembly,2003,Belfast West,85.3,32854
assembly,2003,Mid Ulster,64.38,44362
assembly,2003,Belfast South,35.76,31330
assembly,2003,Newry and Armagh,64.35,47378
assembly,2003,East Antrim,10.33,30952
assembly,2003,Foyle,68.52,40806
assembly,2003,South Down,61.84,45346
assembly,2003,West Tyrone,53.25,41729
assembly,2003,Fermanagh and South Tyrone,50.71,46160
assembly,2003,East Londonderry,34.15,34273
assembly,2003,North Down,5.78,30835
assembly,2007,Belfast North,44.8,29715
assembly,2007,Lagan Valley,19.18,41822
assembly,2007,East Antrim,9.78,30039
assembly,2007,East Londonderry,34.27,33922
assembly,2007,Belfast East,6.68,29629
assembly,2007,Mid Ulster,66.1,44277
assembly,2007,Upper Bann,38.91,42882
assembly,2007,Belfast West,84.65,33790
assembly,2007,North Antrim,28.14,44331
assembly,2007,Foyle,72.18,41036
assembly,2007,West Tyrone,60.07,41454
assembly,2007,South Antrim,27.9,38175
assembly,2007,Strangford,11.54,36019
assembly,2007,North Down,4.9,30707
assembly,2007,Belfast South,40.36,30344
assembly,2007,Fermanagh and South Tyrone,51.13,46442
assembly,2007,Newry and Armagh,61.87,49619
assembly,2007,South Down,62.02,46110
westminster,1992,South Antrim,15.67,42239
westminster,1992,Lagan Valley,17.47,48956
westminster,1992,Upper Bann,32.01,45479
westminster,1992,East Londonderry,32.55,52735
westminster,1992,Belfast East,2.81,35791
westminster,1992,Foyle,70.1,51890
westminster,1992,South Down,54.19,61577
westminster,1992,North Antrim,18.52,45501
westminster,1992,Newry and Armagh,62.05,52574
westminster,1992,Fermanagh and South Tyrone,48.08,55128
westminster,1992,Belfast South,23.08,33584
westminster,1992,Belfast North,35.44,35914
westminster,1992,Belfast West,87.54,39970
westminster,1992,East Antrim,0.0,39281
westminster,1992,North Down,0.0,44956
westminster,1992,Strangford,0.0,45785
westminster,1992,Mid Ulster,50.27,54763
westminster,1997,South Antrim,21.71,40195
westminster,1997,Belfast West,96.19,45885
westminster,1997,Lagan Valley,10.72,44310
westminster,1997,South Down,63.27,49486
westminster,1997,Foyle,76.45,47815
westminster,1997,Belfast North,41.32,41452
westminster,1997,Fermanagh and South Tyrone,46.04,48290
westminster,1997,North Antrim,22.15,46186
westminster,1997,Strangford,7.88,41619
westminster,1997,Upper Bann,37.48,47787
westminster,1997,Newry and Armagh,64.05,53275
westminster,1997,Belfast East,4.29,39029
westminster,1997,Mid Ulster,62.64,50669
westminster,1997,East Antrim,6.17,34347
westminster,1997,Belfast South,30.15,39484
westminster,1997,East Londonderry,30.8,38102
westminster,1997,North Down,4.38,36556
westminster,1997,West Tyrone,63.43,46275
westminster,2001,Belfast West,86.83,40982
westminster,2001,Lagan Valley,13.47,45941
westminster,2001,North Down,4.27,37189
westminster,2001,Mid Ulster,68.86,49936
westminster,2001,Foyle,76.77,48879
westminster,2001,North Antrim,26.63,49217
westminster,2001,South Down,66.09,52074
westminster,2001,Belfast South,38.75,37952
westminster,2001,Strangford,8.27,43254
westminster,2001,Belfast East,6.08,36829
westminster,2001,Belfast North,46.85,40932
westminster,2001,West Tyrone,69.56,48530
westminster,2001,Newry and Armagh,68.31,55621
westminster,2001,South Antrim,21.5,44158
westminster,2001,East Antrim,9.84,36000
westminster,2001,Fermanagh and South Tyrone,52.81,51974
westminster,2001,Upper Bann,37.04,51037
westminster,2001,East Londonderry,36.42,39869
westminster,2005,Belfast West,86.3,34545
westminster,2005,Strangford,9.3,37032
westminster,2005,North Antrim,27.82,45926
westminster,2005,Lagan Valley,13.61,42572
westminster,2005,North Down,3.76,32290
westminster,2005,East Antrim,7.94,31767
westminster,2005,Belfast East,6.66,30831
westminster,2005,Mid Ulster,65.84,45426
westminster,2005,Foyle,79.55,45609
westminster,2005,Belfast North,45.39,30540
westminster,2005,South Down,70.52,48177
westminster,2005,East Londonderry,33.2,35504
westminster,2005,Newry and Armagh,66.54,50696
westminster,2005,West Tyrone,47.97,43487
westminster,2005,South Antrim,24.01,37957
westminster,2005,Fermanagh and South Tyrone,53.02,48793
westminster,2005,Upper Bann,34.68,44422
westminster,2005,Belfast South,41.88,32028
westminster,2010,Belfast West,87.45,32133
westminster,2010,North Down,2.78,33481
westminster,2010,Mid Ulster,66.27,40842
westminster,2010,Lagan Valley,9.03,36540
westminster,2010,South Down,77.21,42589
westminster,2010,West Tyrone,62.41,37275
westminster,2010,North Antrim,21.23,42397
westminster,2010,Strangford,10.23,32505
westminster,2010,East Antrim,13.39,30502
westminster,2010,Fermanagh and South Tyrone,53.15,46803
westminster,2010,Foyle,76.59,37889
westminster,2010,Newry And Armagh,65.43,44906
westminster,2010,Newry and Armagh,65.43,44906
westminster,2010,Belfast South,41.03,34186
westminster,2010,Belfast North,47.4,36993
westminster,2010,Belfast East,3.43,34488
westminster,2010,East Londonderry,34.74,34950
westminster,2010,South Antrim,22.59,34009
westminster,2010,Upper Bann,37.49,41383
