area,pred,act,census
Ards Peninsula,5.462108594912565,1.17595818815331,7.234985938884429
Ballyclare,13.58756322417874,12.917594654788418,2.48488204418766
Ballymena,4.157178665326555,14.021381578947368,5.903442224421063
Ballymoney,4.485072914766045,1.5545080734128973,3.6417606074796036
Bangor Central,10.483237406162713,26.674556213017752,4.104884048148401
Bangor East and Donaghadee,18.704139930026834,12.959039548022599,5.616843694333509
Bangor West,5.462108594912565,7.840122982321291,2.915027422374801
Bann,5.7635823567639335,8.85436402677782,3.6731567298221335
Benbradagh,5.462108594912565,1.4771424933146569,5.237558321179599
Castlereagh South,5.462108594912565,0.48109965635738833,2.920991931132549
Causeway,4.530905708433805,7.7289751447054815,4.920272407928938
Clogher Valley,5.462108594912565,12.682881371726772,4.726485215599682
Coleraine,0.9614715316713325,6.087662337662338,5.380030054506699
Collin,9.69567349936645,3.8246669531585735,4.664336363055571
Comber,6.381316354115644,5.06450727422454,5.770991465086439
Cookstown,5.462108594912565,0.4276827371695179,3.3190157204338884
Court,5.462108594912565,0.1497130499875239,8.869899366849692
Crotlieve,31.4818693194833,22.83122427199268,4.135027309276943
Cusher,12.637418581955929,16.769832220231308,3.0861320767202716
Derg,15.688837191766824,5.930518189261902,2.7996688014763285
Downpatrick,5.462108594912565,4.943105346873853,3.1320018089286283
Dungannon,19.60113471138056,18.81373569198751,1.4463569158646268
Erne East,9.69567349936645,9.412597310686483,5.977488317195647
Erne West,5.462108594912565,6.670181914052201,8.611791341736003
Faughan,5.462108594912565,3.446571957998765,4.503595495651052
Glengormley Urban,1.8888691481413824,1.163719338277239,5.332928886109398
Killultagh,1.277616176907877,0.9306765302469873,5.179714475336427
Knockagh,11.544476266207589,18.22386679000925,8.540599726018803
Limavady,13.378647807309168,9.83253191842149,4.588351392630799
Lisburn North,4.23273411318721,10.540028422548556,1.9853787747398814
Macedon,3.710069394887326,6.841809497049733,4.9625611483039345
Mid Tyrone,9.882865426167003,7.363615078435964,3.4883455039822735
Newry,5.462108594912565,1.999808630753038,8.328989411489506
Newtownards,11.36111014757215,21.69089929994615,6.800790201032522
Oldpark,5.462108594912565,14.127446223516092,7.7280280066441485
Omagh,14.632453193060371,8.273056057866185,6.806317797740384
Sperrin,27.5475462192496,19.243142566881136,2.6404277477664757
The Moor,13.304556274783735,25.25348114100311,3.0366694898917945
Torrent,22.49713223108456,18.969246684849054,2.9062112468505026
