rank,date,body,area_display,council,name,party,tier,votes,share,system,elected
1,2010-05-06,Westminster,North Down,,Sylvia Hermon,Independent Unionist,A,21181.0,63.262746035064666,FPTP,True
2,1970-06-18,Westminster,Mid Ulster,,Bernadette Devlin-McAliskey,Unity,B,37739.0,53.516832581752176,FPTP,True
3,1974-10-10,Westminster,Fermanagh and South Tyrone,,Frank Maguire,Independent Nationalist,A,32795.0,51.83750889117206,FPTP,True
4,1981-04-09,Westminster,Fermanagh and South Tyrone,,Bobby Sands,Anti H-Block,B,30493.0,51.21516988864442,FPTP,True
5,1970-06-18,Westminster,Fermanagh and South Tyrone,,Frank McManus,Unity,B,32813.0,51.108203666495335,FPTP,True
6,2015-05-07,Westminster,North Down,,Sylvia Hermon,Independent Unionist,A,17689.0,49.20855704231229,FPTP,True
7,1981-08-20,Westminster,Fermanagh and South Tyrone,,Owen Carron,Anti H-Block,B,31278.0,49.08123715222747,FPTP,True
8,1985-05-15,Local,Castle,Belfast,Frank Millar,Independent,A,1623.0,48.317951771360526,STV 5-seat,True
9,2024-07-04,Westminster,North Down,,Alex Easton,Independent Unionist,A,20913.0,48.30238359201774,FPTP,True
10,2010-05-06,Westminster,Fermanagh and South Tyrone,,Rodney Connor,Independent Unionist,A,21300.0,45.509903211332606,FPTP,False
11,2017-06-08,Westminster,North Down,,Sylvia Hermon,Independent Unionist,A,16148.0,41.20964654842414,FPTP,True
12,1977-05-18,Local,Ballymoney Area C,Ballymoney,Robert McComb,Independent,A,875.0,39.325842696629216,STV 4-seat,True
13,1979-05-03,Westminster,Fermanagh and South Tyrone,,Frank Maguire,Independent Nationalist,A,22398.0,35.96858890976538,FPTP,True
14,1987-06-11,Westminster,North Down,,Robert McCartney,Independent Unionist,A,14467.0,35.441828560229304,FPTP,False
15,1993-05-19,Local,Castle,Belfast,Nelson McCausland,Independent,A,1070.0,35.05897771952818,STV 5-seat,True
16,2013-03-07,Westminster,Mid Ulster,,Nigel Lutton,Independent Unionist,A,12781.0,34.35013975489142,FPTP,False
17,1970-06-18,Westminster,South Down,,Hugh Golding,Unity,B,21676.0,33.7018206694964,FPTP,False
18,1993-05-19,Local,Ballyholme and Groomsport,North Down,Alan Chambers,Independent,A,1892.0,32.040643522438614,STV 7-seat,True
19,1989-05-17,Local,Giant's Causeway,Moyle,Robert McIlroy,Independent,A,554.0,32.02312138728324,STV 5-seat,True
20,1970-06-18,Westminster,Armagh,,Hugh Lewis,Unity,B,21696.0,31.838459732331533,FPTP,False
21,1973-05-30,Local,Ballymoney Area C,Ballymoney,Robert McComb,Independent,A,753.0,29.69242902208202,STV 4-seat,True
22,1981-05-20,Local,Dungannon Area B,Dungannon,Jim Canning,Independent,A,1744.0,29.183400267737618,STV 5-seat,True
23,1997-05-21,Local,Ballycastle,Moyle,Seamus Blaney,Independent,A,551.0,28.87840670859539,STV 5-seat,True
24,1997-05-21,Local,Giant's Causeway,Moyle,Price McConaghy,Independent,A,484.0,28.82668254913639,STV 5-seat,True
25,1997-05-21,Local,Glens,Moyle,Oliver McMullan,Independent,A,711.0,28.577170418006432,STV 5-seat,True
26,1981-05-20,Local,Strabane Area C,Strabane,James O'Kane,Independent,A,1459.0,27.523108847387284,STV 5-seat,True
27,1973-05-30,Local,Fermanagh Area B,Fermanagh,James Breen,Unity (Northern Ireland),B,1584.0,27.49045470322805,STV 4-seat,True
28,2005-05-05,Westminster,West Tyrone,,Kieran Deeny,Independent Other,A,11905.0,27.37599742451767,FPTP,False
29,1981-05-20,Local,Larne Area A,Larne,William Cunning,Independent,A,875.0,27.031201729996912,STV 4-seat,True
30,1973-05-30,Local,Area C,Newry and Mourne,David Little,Independent,A,1166.0,27.015755329008343,STV 4-seat,True
