contest,year,area,seats,err,ind_act,ind_sim
assembly,2016,Belfast East,6,0,0,0
assembly,2016,Belfast North,6,2,0,0
assembly,2016,Belfast South,6,4,0,0
assembly,2016,Belfast West,6,0,0,0
assembly,2016,East Antrim,6,2,0,0
assembly,2016,East Londonderry,6,2,1,0
assembly,2016,Fermanagh and South Tyrone,6,2,0,0
assembly,2016,Foyle,6,2,0,0
assembly,2016,Lagan Valley,6,2,0,0
assembly,2016,Mid Ulster,6,0,0,0
assembly,2016,Newry and Armagh,6,0,0,0
assembly,2016,North Antrim,6,2,0,0
assembly,2016,North Down,6,2,0,0
assembly,2016,South Antrim,6,2,0,0
assembly,2016,South Down,6,4,0,0
assembly,2016,Strangford,6,2,0,0
assembly,2016,Upper Bann,6,2,0,0
assembly,2016,West Tyrone,6,0,0,0
assembly,2017,Belfast East,5,0,0,0
assembly,2017,Belfast North,5,0,0,0
assembly,2017,Belfast South,5,2,0,0
assembly,2017,Belfast West,5,2,0,0
assembly,2017,East Antrim,5,2,0,0
assembly,2017,East Londonderry,5,2,1,0
assembly,2017,Fermanagh and South Tyrone,5,0,0,0
assembly,2017,Foyle,5,0,0,0
assembly,2017,Lagan Valley,5,2,0,0
assembly,2017,Mid Ulster,5,0,0,0
assembly,2017,Newry and Armagh,5,0,0,0
assembly,2017,North Antrim,5,2,0,0
assembly,2017,North Down,5,2,0,0
assembly,2017,South Antrim,5,0,0,0
assembly,2017,South Down,5,0,0,0
assembly,2017,Strangford,5,0,0,0
assembly,2017,Upper Bann,5,0,0,0
assembly,2017,West Tyrone,5,0,0,0
assembly,2022,Belfast East,5,0,0,0
assembly,2022,Belfast North,5,2,0,0
assembly,2022,Belfast South,5,0,0,0
assembly,2022,Belfast West,5,2,0,0
assembly,2022,East Antrim,5,2,0,0
assembly,2022,East Londonderry,5,2,1,0
assembly,2022,Fermanagh and South Tyrone,5,4,0,0
assembly,2022,Foyle,5,0,0,0
assembly,2022,Lagan Valley,5,4,0,0
assembly,2022,Mid Ulster,5,0,0,0
assembly,2022,Newry and Armagh,5,0,0,0
assembly,2022,North Antrim,5,4,0,0
assembly,2022,North Down,5,2,1,1
assembly,2022,South Antrim,5,0,0,0
assembly,2022,South Down,5,2,0,0
assembly,2022,Strangford,5,4,0,0
assembly,2022,Upper Bann,5,2,0,0
assembly,2022,West Tyrone,5,0,0,0
local,2014,Airport,5,2,0,0
local,2014,Antrim,6,4,0,0
local,2014,Ards Peninsula,6,0,0,0
local,2014,Armagh,6,2,0,0
local,2014,Ballyarnett,6,2,1,0
local,2014,Ballyclare,5,2,0,0
local,2014,Ballymena,7,6,1,0
local,2014,Ballymoney,7,2,0,0
local,2014,Balmoral,5,2,0,0
local,2014,Banbridge,7,4,0,0
local,2014,Bangor Central,6,2,0,0
local,2014,Bangor East and Donaghadee,6,2,1,0
local,2014,Bangor West,5,2,0,0
local,2014,Bann,5,2,0,0
local,2014,Bannside,6,0,0,0
local,2014,Benbradagh,5,2,0,0
local,2014,Black Mountain,7,2,0,0
