,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
2017-01,25.86741325867413,25.0974902509749,13.8986101389861,12.35876412358764,8.879112088791121,4.24957504249575,3.85961403859614,2.6997300269973,0.0,0.0,3.08969103089691
2017-02,26.3,25.3,13.9,12.2,9.4,4.4,3.4,2.4,0.0,0.0,2.7
2017-09,35.46645335466453,31.1968803119688,9.61903809619038,9.3990600939906,8.549145085491451,1.27987201279872,1.7098290170982902,1.4998500149985,0.0,0.0,1.27987201279872
2020-10,21.27659574468085,23.404255319148938,11.702127659574469,12.76595744680851,14.893617021276595,7.446808510638298,3.191489361702128,2.127659574468085,1.0638297872340423,1.0638297872340423,1.0638297872340423
2021-05,12.76595744680851,24.46808510638298,15.95744680851064,12.76595744680851,12.76595744680851,13.829787234042554,2.127659574468085,2.127659574468085,1.0638297872340423,1.0638297872340423,1.0638297872340423
2022-03,19.0,26.0,13.0,11.0,16.0,9.0,2.0,2.0,1.0,1.0,0.0
2022-04,17.0,24.0,13.0,11.0,14.0,8.0,4.0,2.0,1.0,0.0,6.0
2022-08,23.55706712013604,29.55886766029809,11.00330099029709,6.651995598679604,16.414924477343202,6.001800540162049,2.8708612583775133,1.0803240972291688,1.1403421026307892,0.0,1.7205161548464536
2022-11,27.1,32.4,8.5,6.7,14.8,5.1,1.6,0.9,1.4,0.0,1.5000000000000002
2023-04,25.0,29.0,11.0,7.0,13.0,7.0,2.0,1.0,2.0,0.0,3.0
2023-08,26.0,31.0,10.0,6.0,15.0,5.0,2.0,1.0,2.0,0.0,2.0
2023-10,28.0,31.0,8.0,6.0,16.0,4.0,2.0,1.0,1.0,0.0,3.0
2024-02,24.210526315789476,30.526315789473685,10.526315789473683,7.368421052631579,12.63157894736842,6.315789473684211,2.1052631578947367,1.0526315789473684,2.1052631578947367,0.0,3.1578947368421053
2024-05,20.0,28.42105263157895,11.578947368421051,8.421052631578947,14.736842105263158,8.421052631578947,1.0526315789473684,1.0526315789473684,2.1052631578947367,0.0,4.2105263157894735
2024-08,18.11,29.08,12.14,7.93,15.4,8.86,2.72,1.75,1.38,0.0,2.630000000000001
2024-11,19.0,29.0,10.0,10.0,13.0,11.0,2.0,2.0,1.0,0.0,3.0
2025-02,18.94736842105263,26.31578947368421,10.526315789473683,11.578947368421051,14.736842105263158,11.578947368421051,2.1052631578947367,1.0526315789473684,1.0526315789473684,0.0,2.1052631578947367
2025-05,18.55670103092784,24.742268041237114,12.371134020618555,10.309278350515465,12.371134020618555,12.371134020618555,4.123711340206185,1.0309278350515465,2.061855670103093,0.0,2.061855670103093
2025-08,16.842105263157894,26.31578947368421,10.526315789473683,10.526315789473683,12.63157894736842,13.68421052631579,3.1578947368421053,2.1052631578947367,2.1052631578947367,0.0,2.1052631578947367
2025-10,18.367346938775512,25.51020408163265,12.244897959183673,11.224489795918368,11.224489795918368,13.26530612244898,4.081632653061225,2.0408163265306123,2.0408163265306123,0.0,0.0
2026-01,18.851885188518857,24.702470247024703,13.391339133913393,11.011101110111012,10.911091109110911,10.421042104210422,4.56045604560456,1.0901090109010902,2.28022802280228,0.0,2.7802780278027805
2026-04,18.0,24.0,13.0,11.0,11.0,11.0,5.0,2.0,3.0,0.0,2.0
2026-07,15.0,22.0,16.0,13.0,10.0,12.0,5.0,2.0,3.0,0.0,2.0
