area,gap,conv_votes,donor,gain,pool_DUP,pool_UUP,pool_TUV,pool_Alliance,pool_Green,electorate,valid,pool_DidNotVote,reach,mix
Strangford,92.3212890625,46.16064453125,Alliance,SDLP,14618.0,6228.0,5186.0,9837.0,831.0,70775.0,40865.0,29910.0,357.1774462090164,Green->bloc:46
Lagan Valley,624.09912109375,312.049560546875,DUP,SDLP,17688.0,9849.0,3488.0,12394.0,648.0,81562.0,51033.0,30529.0,2648.798331835627,Green->bloc:84 + Alliance->bloc:228
Belfast North,747.636474609375,373.8182373046875,Alliance,SDLP,11173.0,2643.0,3335.0,4381.0,1446.0,75801.0,46027.0,29774.0,3084.305984896305,Green->bloc:187 + Alliance->bloc:187
Fermanagh and South Tyrone,800.58203125,400.291015625,DUP,SDLP,9527.0,8354.0,3091.0,2583.0,335.0,78963.0,53743.0,25220.0,3474.321599936601,Green->bloc:43 + Alliance->bloc:295 + nonvoter->bloc:125
South Antrim,1456.5920410156252,728.2960205078126,DUP,SDLP,11842.0,8175.0,4371.0,7315.0,539.0,76950.0,45736.0,31214.0,6311.133744093809,Green->bloc:70 + Alliance->bloc:659
East Antrim,2307.421875,1153.7109375,Alliance,Sinn Féin,11918.0,9744.0,3661.0,9283.0,754.0,67699.0,40235.0,27464.0,10010.855625377106,"Green->bloc:97 + Alliance->bloc:1,056"
East Londonderry,2316.4409179687495,1158.2204589843748,DUP,Sinn Féin,11937.0,2625.0,2959.0,3338.0,347.0,72959.0,44360.0,28599.0,10230.135768748667,"Green->bloc:45 + Alliance->bloc:381 + nonvoter->bloc:1,465"
Upper Bann,2913.408203125,1456.7041015625,Alliance,SDLP,15417.0,8566.0,4373.0,6440.0,459.0,91149.0,56101.0,35048.0,12819.109071053615,"Green->bloc:59 + Alliance->bloc:735 + nonvoter->bloc:1,325"
Belfast South,3544.578002929688,1772.289001464844,Alliance,SDLP,7211.0,3061.0,1935.0,11704.0,4058.0,73497.0,46938.0,26559.0,14993.798658441176,"Green->bloc:524 + Alliance->bloc:1,248"
South Down,4590.431396484375,2295.2156982421875,Alliance,SDLP,6497.0,2880.0,3273.0,6942.0,412.0,84046.0,54952.0,29094.0,20309.054488019538,"Green->bloc:53 + Alliance->bloc:792 + nonvoter->bloc:2,900"
North Antrim,4585.492675781251,2292.7463378906255,DUP,SDLP,12989.0,10386.0,10763.0,4810.0,343.0,81935.0,50624.0,31311.0,20339.448128925796,"Green->bloc:44 + Alliance->bloc:549 + nonvoter->bloc:3,399"
North Down,5102.200195312499,2551.1000976562495,Alliance,SDLP,8294.0,5167.0,1574.0,12062.0,2734.0,70176.0,41743.0,28433.0,22135.73636895427,"Green->bloc:353 + Alliance->bloc:1,376 + nonvoter->bloc:1,643"
Foyle,5676.4207763671875,2838.2103881835938,DUP,PBP,4101.0,3744.0,499.0,2220.0,215.0,77343.0,46864.0,30479.0,25283.999709973967,"Green->bloc:28 + Alliance->bloc:253 + nonvoter->bloc:5,114"
Belfast East,5956.406250000001,2978.2031250000005,Alliance,SDLP,13886.0,6563.0,3087.0,14015.0,2302.0,70123.0,43248.0,26875.0,25980.71124809255,"Green->bloc:298 + Alliance->bloc:1,599 + nonvoter->bloc:2,163"
Mid Ulster,12886.556274414064,6443.278137207032,DUP,Aontú,8521.0,2191.0,3818.0,2138.0,137.0,75168.0,51689.0,23479.0,inf,"Green->bloc:18 + Alliance->bloc:244 + nonvoter->bloc:5,255"
Newry and Armagh,13424.386962890623,6712.193481445312,DUP,Aontú,7577.0,3864.0,5407.0,3345.0,314.0,87156.0,58884.0,28272.0,inf,"Green->bloc:41 + Alliance->bloc:382 + nonvoter->bloc:6,328"
West Tyrone,8850.361328125,4425.1806640625,DUP,PBP,6640.0,1876.0,4166.0,2967.0,252.0,69702.0,45994.0,23708.0,inf,"Green->bloc:33 + Alliance->bloc:339 + nonvoter->bloc:5,306"
