,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
BELFAST EAST,31.384572113523085,6.079878602515298,14.18836754514074,1.0910828364139502,31.615051271380036,6.805676006452879,5.28240753867547,1.1348133422155142,0.1670263726040628,0.012493409976707748,2.238630961102255
BELFAST NORTH,22.69655405836869,36.291437787153214,6.53748657288251,8.175925822800009,9.811782250046933,6.7946965456592325,3.1025920592731717,2.169662120807279,1.4225960501707575,1.0887694238410368,1.908497308997153
BELFAST SOUTH AND MID DOWN,15.740654181396978,17.57018149219636,7.366304879266013,16.50324325233523,25.85670392329209,4.542518587753613,8.300963113119742,1.2178774746227816,1.5716851678841386,0.3869599534926898,0.9429079746403393
BELFAST WEST,12.82968936364884,58.394497917076045,1.7964327680296301,5.680929583891445,3.5153692568221646,2.6314123592089493,0.822312623591515,7.046263724957012,3.6684383789582737,0.7738170241515538,2.8408369996644995
EAST ANTRIM,28.868575903298463,9.03398761425613,24.890933604281642,3.1521666337480307,21.830547508974295,10.461590769516182,1.7345462011936408,0.0008228387494223644,0.007902998321516237,0.018925927408376387,2.5230012145712824e-10
EAST LONDONDERRY,26.248197469033762,25.273812696554515,6.466636687891991,9.403983072307579,7.423164429916897,6.473738763547876,0.7630194863154124,0.7927836833799303,2.507209412548657,12.585624788054478,2.061829510448907
FERMANAGH AND SOUTH TYRONE,16.597604763305487,45.81609584204141,14.65411133383967,7.712416010310327,4.706833763901588,5.799649540655347,0.6210667167600198,0.186869961191424,1.7751562197576998,1.051186941498845,1.079008906738181
FOYLE,8.775109960247812,33.81576837232254,7.323543290432493,30.24457586168673,4.703389306260297,1.056381856895719,0.47030153200677366,5.8519381813368145,4.2946639217732345,1.8077485191665752,1.6565791978710152
LAGAN VALLEY,34.29612601874082,6.554872024241418,19.944633155680005,7.23812644479236,22.010109640487684,6.944578738670234,1.1478004275961384,0.4921641986892642,0.14410620705169222,1.2131075889272964,0.014375555123101565
MID ULSTER,17.701690198281344,50.62711108829514,5.223864943683643,9.699178691804507,4.297894204552049,7.429527039514363,0.2653886122805171,0.3369024789771101,2.495248750049293,1.6661282569587403,0.25706573560327756
NEWRY AND ARMAGH,12.556254419593673,47.94181409925683,6.124627541191112,10.519895462436727,5.919389072572799,8.842270795271043,0.566203076252331,0.009963423549075081,2.0106869145059547,5.238152732589184,0.270742462781258
NORTH ANTRIM,26.06369656541133,19.418081462368992,19.35248324133438,3.722631397085386,9.563363879650534,21.031453556185877,0.7189948079517576,5.534304779302066e-10,3.878964416226718e-10,0.1292950881478881,9.225620839945075e-10
NORTH DOWN,20.150278923072634,1.6120735809703768,12.545163423075183,1.694176466246662,29.27781680554497,3.9887194073170424,6.578598295495009,0.08894881005090673,3.6900691674961356e-10,23.353910980652483,0.710313307205699
SOUTH ANTRIM,26.202516824783995,19.84484456145379,17.795051728332922,6.733584769998019,15.996093565441294,9.697160382548164,1.1811173082887096,0.546197894819082,1.409877686009714,0.5807977361072343,0.012757542217082933
SOUTH DOWN,12.228574653475329,44.830202836005064,5.429441361974562,16.005274900654825,11.728645590705906,6.171621374887805,0.78101087984265,0.3677905680587559,2.1549306028882937,0.29600754808583063,0.00649968342096641
STRANGFORD,33.317199635022014,8.259080915683167,13.816817303045102,7.4874327627803074,22.903028925561276,11.890072574085275,1.7918744315621624,0.03446734685421162,0.2513055989608869,0.2487205062055714,2.4003730541238895e-10
UPPER BANN,27.256432820474796,31.09347065867138,14.722950793423806,5.521884198172457,11.147251259100386,8.052420526874686,0.8300606355075277,3.922475320605097e-10,1.0038545534997358,0.13031614214971804,0.2413584117332664
WEST TYRONE,14.026266989626906,47.19690178005471,4.177871821019561,12.410973427722272,6.279583259031673,8.978289540584482,0.5337353563468787,0.7403135876006114,1.5123744601574267,3.7566053527182843,0.38708442513720387
