area_2023,main_2008_source,pct_from_main,n_sources
BELFAST EAST,BELFAST EAST,88.48161466187217,2
BELFAST NORTH,BELFAST NORTH,94.61855612010106,4
BELFAST SOUTH AND MID DOWN,BELFAST SOUTH,89.96877704433999,3
BELFAST WEST,BELFAST WEST,88.0397308304603,3
EAST ANTRIM,EAST ANTRIM,88.9220162116836,3
EAST LONDONDERRY,EAST LONDONDERRY,96.62134673062549,2
FERMANAGH AND SOUTH TYRONE,FERMANAGH AND SOUTH TYRONE,93.21472608772238,3
FOYLE,FOYLE,100.0,1
LAGAN VALLEY,LAGAN VALLEY,89.17376922942299,3
MID ULSTER,MID ULSTER,95.39495215909747,2
NEWRY AND ARMAGH,NEWRY AND ARMAGH,98.35686662469647,2
NORTH ANTRIM,NORTH ANTRIM,98.85277431451574,2
NORTH DOWN,NORTH DOWN,95.16422425245774,2
SOUTH ANTRIM,SOUTH ANTRIM,97.66913071956583,4
SOUTH DOWN,SOUTH DOWN,95.68803935187388,3
STRANGFORD,STRANGFORD,86.3784987599332,2
UPPER BANN,UPPER BANN,97.01958225635106,2
WEST TYRONE,WEST TYRONE,93.38457648546144,3
