,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000001,49.51274039328942,3.015133016088352,36.45765875501482,4.341485116738659,6.67298158711408,4.985784599921537e-07,9.514634113575093e-08,7.111488960372467e-08,1.9381074070189155e-07,1.5480540134311636e-07,1.1829883713002163e-07
N20000002,34.717842876481306,3.855802195865967,50.511998473533495,1.6289340088377045,9.28541912948812,2.043025763718808e-06,3.676463162213174e-07,1.3301822280630124e-07,2.7611462515601785e-07,1.265551168609361e-07,3.694333687163327e-07
N20000003,40.99198266271564,5.598070711764586,45.935227841039996,1.5138729127195725,5.960842864069304,1.7198398240088668e-06,3.050538771309882e-07,8.470361384175482e-08,2.856386426118717e-07,2.2219270063013984e-07,3.9026224216751197e-07
N20000004,47.591627194272526,6.297716704053245,19.507904470654456,8.985749575401186,17.617000241736484,3.511638904519319e-07,3.3165992517598844e-07,4.378182201936069e-08,3.7273193948094565e-07,5.557628874608799e-07,1.5878164345046927e-07
N20000005,41.5445194048607,1.2096727485410421,43.31201276181314,7.9809582997433015,5.952835171700009,3.5076110061069203e-07,1.225063103965769e-07,8.466439374667964e-08,2.957927958763763e-07,6.228519977675804e-07,1.3676521340351202e-07
N20000006,37.18750295777102,11.385460019884745,33.10464950474227,2.500652960351225,15.82173084779509,1.5214482561549394e-06,9.722571186496794e-07,2.275625217057766e-07,4.845649562500736e-07,1.765894423389718e-07,3.2703336427933967e-07
N20000007,11.366325347289402,60.367829264260045,11.909571968255765,14.699880834005327,1.6563914953228807,3.5598020376691775e-07,1.258678085732363e-07,9.590840075145836e-08,3.1381122849182527e-07,8.45030111699758e-08,1.1479591451956925e-07
N20000008,26.366004756402006,37.369639262156504,18.029916115850376,13.527581146974251,4.706857489100848,4.714289600066595e-07,1.6461162808749476e-07,4.9118939654921185e-08,2.651807110889705e-07,1.4899904218454597e-07,1.3017673144332227e-07
N20000009,31.128650655483042,3.3372464136498117,57.993815255643874,1.7368735440880867,5.803413114343484,3.6375600384691794e-07,1.3043504781264884e-07,3.152834880055685e-08,1.71756207590726e-07,1.7289696382377802e-07,1.4641911903563266e-07
N20000010,44.114268353952454,1.39409162075254,37.22393292315677,2.748120267467327,14.519584945049886,8.999691875686585e-07,2.507837995001976e-07,5.3671265234877366e-08,2.5711388342407415e-07,2.963996840698209e-07,1.3168321579983388e-07
N20000011,30.69133041827262,56.82858852707064,10.509001397076304,0.6162002273847791,1.3548775507802358,2.8289813485842367e-07,3.5662158177540317e-07,3.599150613927285e-07,2.0415403534187492e-07,1.2734562016974943e-07,5.484809928661918e-07
N20000012,49.94690777240823,4.116249930367594,17.534534195225298,0.4472389392863232,27.955063083620463,2.1968890559630285e-06,2.4947168447471814e-06,5.566290676356332e-08,2.1573862081275908e-07,1.8806857440638285e-07,9.280160747211978e-07
N20000013,40.77883005262487,21.704410575080853,32.53831553731545,2.312346550424562,2.6660935307704428,1.7956860170347417e-06,4.6061003285287954e-07,8.767697835772933e-08,2.5805523508728325e-07,4.768424447684149e-07,6.749131190292715e-07
N20000014,36.66109614017276,23.021025265479118,32.410399156962534,3.595357979212219,4.312118050521789,5.430075916412004e-07,5.505391116537985e-07,3.384221601191387e-07,5.377472263818976e-07,9.757879789592757e-07,4.621475059936779e-07
N20000015,23.657731277217962,69.68031015424334,1.364132931000207,4.775939761285154,0.5218847184160909,1.498585285513845e-07,8.694832724190354e-08,3.61073909224387e-07,2.2337038259652767e-07,1.552679800958332e-07,1.8131810742491458e-07
N20000016,35.6372208021973,29.181348388696826,27.804310381931536,1.732844850045666,5.6442732453128155,4.05371425015286e-07,8.522231559333558e-07,1.9165580514672115e-07,3.0249809785217835e-07,3.109356795365252e-07,2.6913169543640046e-07
N20000017,32.12947362307742,41.239464562051104,13.010122030276627,4.462839747508615,9.15809608400833,7.599952869220236e-07,1.6220979049894536e-06,2.538710003947079e-07,5.61526336225269e-07,2.7564052682474883e-07,4.79946842509756e-07
N20000018,14.594989038479492,36.2287219520759,24.627936304179034,22.168392428411607,2.3799589461221933,1.5152214519512473e-07,1.3433199584704313e-07,3.9105569974593853e-07,4.1266269902929685e-07,1.4381890644168864e-07,9.734032472847469e-08
N20000019,33.856091475852004,59.98946572588216,3.694249259449812,0.08883930376378724,2.3713501191919577,5.868096123383641e-07,1.5486621571831734e-06,6.38322248164983e-08,9.677023892135613e-08,6.39901604927747e-08,1.7557958754426786e-06
N20000020,61.741207200320815,23.27215856206938,7.745016875508727,2.6197683019577265,4.621846397301774,3.3351140598411976e-07,4.939046614675691e-07,3.2064756623096075e-07,4.200899512612724e-07,4.609103795795142e-07,6.337776116478778e-07
N20000021,25.422975311642514,7.933334168354294,40.312927594421,21.010856245209393,5.319904954113942,1.3357926182382565e-07,2.717954336936657e-07,3.2385280256784176e-07,4.0165876696779516e-07,5.043304753200807e-07,9.104211602603916e-08
N20000022,23.897417108365175,40.88892068218121,20.168091716212096,11.848777281717336,3.1967917147996334,2.533302434241295e-07,1.8965517866966297e-07,4.825459611012406e-07,4.0696843748512774e-07,7.668878350479864e-08,8.753593874244785e-08
N20000023,41.97177165537955,17.819100410008147,14.62747943647649,3.753147792317562,21.828497027826465,6.076567818676608e-07,1.3392280993310097e-06,3.142518422677637e-07,5.840241358013029e-07,2.952699114742281e-07,5.375610185264454e-07
N20000024,21.768848108690634,47.52457818554577,10.582013575917241,18.17036837306861,1.954189722663675,5.531932472657727e-07,1.5016347988863736e-07,4.574256582779363e-07,5.578742858519731e-07,1.674747854991407e-07,1.479826129391094e-07
N20000025,36.209962829962805,7.341589959973743,48.42108603137872,4.962082595720172,3.0652776605250507,1.190963703511144e-07,5.544252864673281e-08,2.833913417469765e-07,2.5954872291458874e-07,1.5314364938504732e-07,5.181691391057055e-08
N20000026,42.770172244065144,2.076870545528963,41.389471526136994,2.5980648005820663,11.16541860299183,1.3405217921528534e-06,2.2657355254507427e-07,3.3986981333948936e-08,2.3015123590177982e-07,2.802803555430408e-07,1.6918108745495874e-07
N20000027,34.02713393627909,5.173759796231624,56.30251488334411,0.7260035812014888,3.770587022038954,6.939090450038895e-08,1.2265826838831318e-07,2.3252977966760206e-07,1.6891375411457972e-07,1.202703405061156e-07,6.71416701776432e-08
N20000028,24.98149628091715,36.01133201654804,24.891803974899446,7.972794812343093,6.142569928263746,4.469611840612223e-07,6.654474752345886e-07,2.000778697510627e-07,6.456019646600638e-07,7.301925470191486e-07,2.987474827717389e-07
N20000029,23.020273949291642,38.04887763058359,27.88976081621511,7.536826099281611,3.5042593442751424,6.707789872136419e-07,3.352577876236163e-07,3.528946770134682e-07,3.756971326183055e-07,1.412546607368859e-07,2.8446966169517465e-07
N20000030,45.9444308382831,1.483770930039652,37.45567394946925,2.5185373508243027,12.597583839940732,1.3745685427279405e-06,4.1634692726756666e-07,1.0335217699517214e-07,4.3596554890726414e-07,5.206480515492533e-07,2.4056173247322356e-07
N20000031,32.22636658861986,2.9428111946945985,53.78863149809535,1.1460643376918238,9.896124689045399,5.817935044595341e-07,2.970580982157453e-07,1.2251750786383488e-07,2.012577258936795e-07,8.71362486509001e-08,4.020898745429998e-07
N20000032,16.581583873784428,59.096163139364045,14.128844960868426,5.255389132615402,4.93801665440911,3.192114535179887e-07,4.365326828776184e-07,1.906106943121598e-07,7.358157945875171e-07,3.7849288480535806e-07,1.7829510340738147e-07
N20000033,10.279453966271587,36.785325678614186,16.503482624732907,30.646069356728855,5.785666834747597,3.140630838655463e-07,5.081953722539907e-07,6.835987144550679e-08,4.052162532240937e-07,1.4542228982685356e-07,9.764801081373698e-08
N20000034,20.563735417453284,33.94145853144431,22.392202870852977,21.29901093040795,1.803590799571474,2.650797641478899e-07,1.22513009310589e-07,1.3411125449605378e-07,4.7571202395353797e-07,3.3991215415887136e-07,1.1294179040634942e-07
N20000035,14.754852500293826,40.35626696331312,41.09206225557811,3.0875991298353815,0.7092187120303411,6.747007753547984e-08,6.236909943453976e-08,1.177611416721254e-07,8.390711119152139e-08,4.885419025314528e-08,5.858762750501632e-08
N20000036,27.51123387969438,55.420984293443965,14.70166576220544,0.5311795755837189,1.8349340632544449,1.033963673393661e-07,5.810264264328925e-07,8.470060988874868e-07,3.137759038538164e-07,2.2172305339076297e-07,3.588901985850129e-07
N20000037,54.5241296704468,38.47158034166493,5.528728107879501,0.49451378883815833,0.9810461815187158,1.9329870603411103e-07,1.7775203595953857e-07,6.762688199917963e-07,1.8898562131533406e-07,9.09709761706012e-08,5.823757428410666e-07
N20000038,44.28203799241775,2.0053156949310074,45.97293489706826,0.7367597768875956,7.002950624243454,1.1037101936555956e-07,2.2630680331312515e-07,3.2208726186941506e-07,1.3431504285899852e-07,2.71284442479468e-08,1.9424337340479718e-07
N20000039,50.567678556970364,13.895194378085352,21.584496419646644,5.807256331347112,8.14537279221056,3.533659751088483e-07,3.962604360426878e-07,1.4540034995677542e-07,1.5833924536907532e-07,8.26673192219781e-08,3.857066392976486e-07
N20000040,24.266902719182305,60.04186411613658,13.885161428125418,1.4386075914804395,0.3674633627557215,9.123784912278168e-08,8.857229928111727e-08,2.878489923715025e-07,1.0945230743946054e-07,5.322967267238657e-08,1.519784243263993e-07
N20000041,29.044668191241968,6.149716648317865,57.77124788211814,1.720205183739803,5.314161123907694,2.945434539061639e-07,1.8231271042073477e-07,1.2571989123678223e-07,1.496154284354343e-07,6.712431352825449e-08,1.5135872474332068e-07
N20000042,25.60753780241199,3.367876921108412,67.93889894876551,0.57522805521499,2.510457805337698,7.330808596319653e-08,9.595728501410942e-08,1.1605019569096984e-07,7.877051639312238e-08,1.55394885871411e-08,8.753582659883624e-08
N20000043,47.31690087434093,7.486930081988833,39.9271999891744,0.8426048222424619,4.426363618839815,1.5804415836605384e-07,1.3044640099213252e-07,9.655871320782183e-08,1.0767787173399282e-07,3.149352262492626e-08,8.919288409007728e-08
N20000044,51.429554467294956,1.252835558609077,33.36098087218552,1.7305281044141898,12.226099486149291,2.590426535104946e-07,2.904132476469227e-07,3.5336854681827016e-07,2.8427638753459793e-07,1.1739759824039019e-07,2.0684852037991308e-07
N20000045,29.750764684606423,5.957449200103852,49.18073417915914,3.271645221124203,11.83940524522516,3.482404112570935e-07,4.0241476536956867e-07,1.6807196757281036e-07,2.3783811673769684e-07,1.1038911665509137e-07,2.02826853642511e-07
N20000046,51.34757614005531,32.020755530270236,12.881801109837946,0.31701684017906345,3.4328480796510195,6.459548650587435e-07,3.6572512261522747e-07,5.381951350755366e-07,1.5214310823952245e-07,2.6324940555042297e-08,5.716632536984441e-07
N20000047,58.02299327530023,13.332951951472632,18.084425332068797,0.7430180914489327,9.816608864137477,4.834410534335395e-07,7.540603624470536e-07,1.0940735128930029e-07,2.0534834059930443e-07,2.735983089349989e-07,6.597165323553703e-07
N20000048,24.209240110113278,6.339669388457908,50.625858892874945,3.205234606989097,15.619990630919563,9.563131133026555e-07,3.64809228569192e-06,3.1188463670682273e-07,3.653242406678257e-07,5.776331286508145e-07,5.113978231729576e-07
N20000049,19.469537012711907,63.303687567505065,13.580350644196123,2.935276603420508,0.7111470470312726,8.402652722836268e-08,2.040119558860039e-07,3.580932629075619e-07,1.23785718240866e-07,1.439770861935081e-07,2.1124056316864533e-07
N20000050,73.9026122585219,19.27608659593784,4.704260974263024,0.5349247493068826,1.5821136018843243,3.986616451995167e-07,1.3496511523824777e-07,3.6038901887036203e-07,1.581309699585351e-07,9.175296513094492e-08,6.76186334943042e-07
N20000051,43.162942867802506,51.175791071930895,2.687849446287992,1.3208194777609763,1.6525953677845449,1.2978395732447526e-07,2.176578186425398e-07,5.995892485576007e-07,2.3080470963386828e-07,8.382214450574017e-08,5.067752097126524e-07
N20000052,60.97003288565117,20.709020291852852,12.523376673581271,0.6891042808823526,5.108463076511156,5.644890779483154e-07,4.995409931386737e-07,5.046744622999733e-07,2.8689230900288336e-07,1.7567213496283492e-07,7.602522205295537e-07
N20000053,32.01847696537636,58.7259575843231,6.898811595738387,0.4053832168461247,1.9513686573667408,1.0912908726939529e-07,3.6892549259506496e-07,6.010906041478876e-07,2.1162617974531954e-07,2.1010827548648216e-07,4.794696563118745e-07
N20000054,42.72887864220375,43.532632515794184,12.03818149620271,0.3074660884198931,1.3928397276549316,5.524568994343699e-07,1.5416473957293074e-07,2.404932983157755e-07,1.0314338953922325e-07,3.819145697302436e-08,4.4127473058780273e-07
N20000055,51.90309017782213,41.30397235787194,4.967782285859834,1.097807975883623,0.7273420527186125,2.814508288393341e-07,2.162736991104004e-07,3.2742381440725973e-06,3.4478850840720235e-07,4.539327719524067e-07,5.791598921577726e-07
N20000056,38.54731197776788,57.38730642119116,3.0959967335907197,0.23846819503319927,0.7309153180036033,3.466593299880664e-07,1.357603808584545e-07,2.782886032477655e-07,1.2176955751444116e-07,5.047450433908682e-08,4.21461036166795e-07
N20000057,24.24626536421079,33.25179314919768,27.766690488110807,1.7449654835775268,12.990280852976701,3.3508428070989595e-07,2.3268355158356743e-06,3.395906902392427e-07,4.7663439013596524e-07,2.6099848629757436e-07,9.227831448232546e-07
N20000058,58.29533360105571,34.01566148695206,4.541559318678624,1.7925243063503107,1.3549184707287494,2.2705710014026388e-07,1.917507076723936e-07,1.3748985390029134e-06,2.946712367330702e-07,2.487683907948535e-07,4.790885746305838e-07
N20000059,31.3216598944178,62.51988473395706,3.2866693668985607,1.2551627233633198,1.6166224397540747,8.308254470669259e-08,1.5927974081353535e-07,2.0504532673217182e-07,9.283275204364731e-08,2.8763609504606594e-08,2.726052214776333e-07
N20000060,47.32644074430184,10.866426840941656,34.0917333512671,1.2918385470211673,6.4235592751721,4.0342050063008347e-07,1.3785421778440379e-07,1.0626716063978686e-07,2.4293996470152455e-07,1.4673529333062695e-07,2.040789790761531e-07
N20000061,44.56145495343631,32.39065738488628,19.871155356483058,1.5020254051722204,1.674704136469361,4.038879097516938e-07,3.149096504743872e-07,9.915698579981326e-07,3.024983814905858e-07,2.8197856499468743e-07,4.687084129099899e-07
N20000062,44.71734725787009,48.390453527412255,4.9889247856662555,0.8860475891298948,1.0172248840280367,2.1552767520499561e-07,1.8857514734646073e-07,8.158560824061858e-07,1.6922093530120802e-07,1.0280122001516025e-07,4.639124008720919e-07
