,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
BELFAST EAST,49.1547393212429,7.38272194250699e-10,5.66886875736751,3.4542721145132305,41.563053342611354,7.146937038818759e-10,2.8130203556729837e-10,5.368322430356277e-10,0.15906646095028387,2.4630034675398965e-10,7.972900516578611e-10
BELFAST NORTH,40.947338032864,47.15861746983924,0.9799303930451896,0.22943838718861748,10.34792084346794,5.285455673630258e-10,0.0010924194396758808,0.24761052171981654,0.0829727445094238,3.5722940049949134e-10,0.005079187040289003
BELFAST SOUTH AND MID DOWN,23.635191244832015,0.043483055522625366,3.433036714592445,54.71865815884808,16.723167627046895,3.155369307733773e-10,0.1539029636621824,3.1010135521811205e-10,1.0228166560760448,2.957970686529519e-10,0.26974357849827324
BELFAST WEST,17.76964519695974,49.99503264680493,0.8322822957999897,7.037325155424777,6.132291786968107,6.773063757359525e-10,2.1603061896749132e-10,14.28218389126844,3.751683103936959,5.38300025479637e-10,0.19955592140545803
EAST ANTRIM,45.02150651690764,5.653227228027068,15.969280454433106,3.140571979232734,26.019284831682377,2.5477331090007146e-10,1.6531699099231092,5.659558489720831e-10,3.0162413984486866e-10,0.038715937783879044,2.504243140887719
EAST LONDONDERRY,38.99647888014889,15.365607859902836,9.00638142358058,17.625017258364238,14.623101296243476,3.9808443943422967e-10,2.336793451125801e-10,0.016996508714576256,4.366416771412169,4.929122581588784e-10,5.085556021319502e-10
FERMANAGH AND SOUTH TYRONE,1.212729626048868,44.08338391856584,39.83009906133696,8.037336621137728,5.210971076254562,5.071167336105109e-10,2.305517913733799e-10,6.374047294717499e-10,0.1849561949671234,1.4405234993921177,9.217789299824212e-10
FOYLE,10.164175206670723,21.342599048596327,2.1890358154635816,56.29124340386149,2.70298337723244,2.182767031009242e-10,2.950356669930481e-10,2.95840784554929,4.35155530047162,9.888116600443917e-10,6.523941101628545e-10
LAGAN VALLEY,43.17390754298571,3.702477799060809,19.05413979056833,5.72274768945917,25.845807200706062,7.419304032958996e-10,3.645724073174487e-10,3.3454061537102443e-10,0.009519842299803063,8.569600267523875e-10,2.4914001326221307
MID ULSTER,24.080256097189377,43.90122674871918,8.829868928259161,13.69396441212182,7.961508783401005,2.2938220716301776e-10,3.518868862839652e-10,4.3274711712734817e-10,4.10814019622701e-10,1.5331750284405312,4.4405520668374656e-10
NEWRY AND ARMAGH,21.03978517115297,40.58596641548832,7.873855884219244,18.659247800319463,8.650443168964904,2.548036530211806e-10,4.909648733817076e-10,6.126073447717366e-10,3.190701557426174,7.488787536886364e-10,3.2167466194992926e-10
NORTH ANTRIM,47.676357338657155,13.463758026358027,17.564192081994168,6.397572509054912,14.280304439371335,4.231930829958837e-10,0.021387413369826774,6.95927635869899e-10,3.9324118386878857e-10,0.5712843434090186,0.02514384627320747
NORTH DOWN,37.93250986264944,1.915986987424707e-09,11.822607306546201,7.908737154716512e-07,45.65797697354918,5.01046432808124e-10,2.1393658162479575e-10,8.047240945173936e-10,9.10376351960161e-10,0.00018982301724841005,4.586715239018167
SOUTH ANTRIM,35.89555995602929,11.286217106588849,28.4462557129362,5.225345617710357,19.08889347920069,2.4065896745047993e-10,0.006192119352901338,7.129540488810539e-10,3.6359554083670725e-10,7.228284373324724e-10,0.05153600614166952
SOUTH DOWN,16.177212129405163,33.08941041482154,6.590901500746693,28.465932181970413,13.140746525325117,3.066114567298901e-10,3.081920069659945e-10,5.23627603025785e-10,2.535797245924469,3.3772244610283714e-10,3.304355282387191e-10
STRANGFORD,43.759527485780886,4.622708171881763,10.210897636101826,8.648275829917552,26.435151148716248,2.8396322731142957e-10,1.8087015945368106,7.099933120334914e-10,0.2861830280112178,3.0626393305634734e-10,4.228555103753446
UPPER BANN,41.06958817240763,25.872724991953717,12.27966998813812,8.00922676470938,12.687547815291754,8.04239093924152e-10,6.086956748019427e-10,4.90372143581131e-10,0.08124226453260722,4.6021473558701995e-10,6.032518328223779e-10
WEST TYRONE,21.419449248609393,40.63160773713804,6.48100425400975,18.6351795195941,9.331726235832097,4.005578264322516e-10,1.1813083171313927,0.002831054593822159,2.2764238400300565,0.04046979221960937,4.4117342284192796e-10
