text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @SJAMcBride: There won't be official figures until the morning, but based on various sources turnout seems likely to be not far off the…",FALSE,0,NA,2016-05-05 23:59:35,FALSE,NA,7.28374E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ni_mhearnog,15,TRUE,FALSE,NA,NA
RT @AlanJRodgers: Election coverage was also dominating in @Ulster_Herald 35 years ago. Council poll and Bobby Sands. #AE16 https://t.co/do…,FALSE,0,NA,2016-05-05 23:56:58,FALSE,NA,7.28373E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ni_mhearnog,5,TRUE,FALSE,NA,NA
RT @MarkMcKelveyUH: Bumped into @RossHusseyMLA on his tour of WT polling stations. Says low turnout everywhere. Approx 30% so far #AE16 htt…,FALSE,0,NA,2016-05-05 23:56:40,FALSE,NA,7.28373E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ni_mhearnog,4,TRUE,FALSE,NA,NA
Truly fascinated to learn the outcome of #ae16,FALSE,0,NA,2016-05-05 23:54:47,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",themattbeaumont,0,FALSE,FALSE,NA,NA
"RT @DuncanNeill: I see #BothVotesSNP is trending in Belfast. Nevermind Glenrothes or Rutherglen, I'm waiting to see if the SNP win the Foyl…",FALSE,0,NA,2016-05-05 23:53:41,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",susan_bell1212,4,TRUE,FALSE,NA,NA
"RT @DuncanNeill: I see #BothVotesSNP is trending in Belfast. Nevermind Glenrothes or Rutherglen, I'm waiting to see if the SNP win the Foyl…",FALSE,0,NA,2016-05-05 23:52:48,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",chrisndundee,4,TRUE,FALSE,NA,NA
"RT @DuncanNeill: I see #BothVotesSNP is trending in Belfast. Nevermind Glenrothes or Rutherglen, I'm waiting to see if the SNP win the Foyl…",FALSE,0,NA,2016-05-05 23:52:17,FALSE,NA,7.28372E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",buzzy_bee,4,TRUE,FALSE,NA,NA
"RT @DuncanNeill: I see #BothVotesSNP is trending in Belfast. Nevermind Glenrothes or Rutherglen, I'm waiting to see if the SNP win the Foyl…",FALSE,0,NA,2016-05-05 23:52:05,FALSE,NA,7.28372E+17,NA,"<a href=""http://www.makeuseof.com/tag/how-to-build-a-raspberry-pi-twitter-bot/"" rel=""nofollow"">BOGBOT</a>",IsThisAB0t,4,TRUE,FALSE,NA,NA
Scotland will always succeed at being ahead. Being able to vote from the age of 16 is flipping amazing! #ae16 #ScottishElection2016,FALSE,0,NA,2016-05-05 23:51:30,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",matt_reuben,0,FALSE,FALSE,NA,NA
"I see #BothVotesSNP is trending in Belfast. Nevermind Glenrothes or Rutherglen, I'm waiting to see if the SNP win the Foyle. #sp16 #ae16",FALSE,5,NA,2016-05-05 23:51:25,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DuncanNeill,4,FALSE,FALSE,NA,NA
RT @JackODwyerHenry: Here are the final results of today's @MethodyBelfast mock #AE16 Belfast South election: https://t.co/gYF2FtAObf,FALSE,0,NA,2016-05-05 23:51:20,FALSE,NA,7.28372E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ClareBaileyGPNI,6,TRUE,FALSE,NA,NA
