lgd,total_pop,rc_pct,protestant_pct,none_relig_pct,relig_notstated_pct,irish_speak_pct,econ_active_pct,unemployment_pct,owner_occ_pct,social_rent_pct,private_rent_pct,no_car_pct,llti_pct,qualified_pct,degree_pct
ANTRIM,44504,31.73,54.68,4.6,8.99,1.99,62.13,12.42,59.99,32.97,5.86,29.34,11.26,7.15,5.35
ARDS,64759,11.35,73.79,6.03,8.83,0.6,61.11,9.29,68.02,26.01,5.4,27.67,11.22,8.09,6.01
ARMAGH,51837,45.32,47.14,1.6,5.94,4.17,57.62,16.01,68.89,25.02,4.75,24.92,11.69,6.75,5.44
BALLYMENA,56653,18.34,71.48,3.23,6.96,1.32,59.86,11.1,67.27,27.29,4.4,26.96,10.86,7.6,5.81
BALLYMONEY,24223,30.26,61.4,2.16,6.18,2.11,58.18,15.91,58.08,37.01,4.28,26.12,10.86,5.28,4.12
BANBRIDGE,33495,27.64,61.42,2.79,8.15,1.49,60.12,10.87,66.53,27.81,4.5,25.13,11.12,7.05,5.22
BELFAST,279191,39.01,47.57,5.27,8.14,3.69,55.52,21.46,55.01,36.63,7.52,53.3,14.27,10.29,8.8
CARRICKFERGUS,32765,6.9,77.63,7.55,7.92,0.44,62.61,11.58,65.85,30.17,3.42,31.0,11.14,9.48,6.9
CASTLEREAGH,60774,9.43,75.48,6.23,8.87,0.65,61.31,8.36,70.41,27.1,2.09,27.35,12.65,11.66,8.99
COLERAINE,50474,22.44,66.38,4.18,7.0,1.21,57.8,15.29,61.01,31.94,6.08,32.03,10.92,9.71,8.14
COOKSTOWN,31083,53.16,40.3,1.2,5.34,4.91,55.85,21.09,70.06,23.26,5.51,25.73,12.03,5.82,4.69
CRAIGAVON,74946,40.1,49.98,2.61,7.31,2.57,60.84,15.1,62.57,31.75,4.62,34.92,12.02,6.97,5.49
DERRY,95375,69.46,23.59,1.43,5.51,4.88,58.1,24.73,50.76,45.11,3.12,44.97,11.43,7.77,6.17
DOWN,58030,56.05,33.07,2.87,8.01,3.33,59.27,12.8,66.36,25.42,6.73,27.42,11.47,8.45,6.87
DUNGANNON,45417,55.69,38.24,0.86,5.22,7.22,55.8,20.48,67.35,25.12,5.87,27.19,11.49,6.47,5.28
FERMANAGH,54084,54.95,38.96,1.37,4.72,3.22,54.8,18.45,68.62,24.03,5.9,28.17,11.15,6.27,4.9
LARNE,29408,22.16,64.94,4.32,8.58,1.12,58.62,13.73,67.98,26.07,5.08,34.77,11.07,7.28,5.2
LIMAVADY,29566,51.67,39.26,1.79,7.28,2.12,60.82,21.01,56.37,34.41,7.91,30.74,9.63,5.24,4.07
LISBURN,99427,26.95,60.87,4.78,7.4,2.22,61.67,13.52,62.05,32.61,4.73,30.38,10.11,9.76,7.51
MAGHERAFELT,36280,58.92,34.81,0.84,5.42,5.4,57.42,17.45,67.2,25.77,5.24,25.65,11.27,6.51,5.38
MOYLE,14783,52.26,39.41,1.71,6.62,3.32,53.31,21.54,58.88,33.05,7.13,34.22,11.87,6.67,5.45
NEWRY and MOURNE,82993,71.81,19.79,1.15,7.25,5.36,56.05,22.25,64.89,29.29,4.31,31.56,11.28,6.41,5.11
NEWTOWNABBEY,74022,13.01,71.78,6.02,9.2,0.78,62.91,11.21,68.69,27.01,3.83,31.21,11.13,8.87,6.48
NORTH DOWN,71826,8.99,73.53,8.55,8.93,0.61,58.81,7.57,78.02,16.39,5.0,25.15,10.84,13.66,10.69
OMAGH,45798,64.32,29.63,1.24,4.8,4.16,56.54,18.44,67.21,25.23,6.2,28.39,11.41,7.06,5.52
STRABANE,36153,61.82,33.31,0.8,4.06,2.73,55.37,25.38,54.9,38.73,5.44,36.97,11.85,4.23,3.34
