SA2011,Geography,AllUsualResidents,Female_pct,Age_10_19_pct,Median_age,Catholic_background_pct,Protestant_background_pct,NSSeC_higher_pct
N00000001,Aldergrove_1,1113,45.37,7.7,25,14.5,46.4,70.0
N00000002,Aldergrove_2,351,48.43,11.1,38,67.0,29.1,52.6
N00000003,Aldergrove_2,237,50.21,21.1,43,47.3,50.2,51.8
N00000004,Aldergrove_2,616,50.32,20.5,38,51.9,43.3,36.7
N00000005,Aldergrove_2,374,47.59,15.5,39,49.5,43.0,46.9
N00000006,Aldergrove_2,251,52.59,13.9,40,60.2,34.7,46.0
N00000007,Aldergrove_3,245,48.16,14.3,41,25.3,67.8,47.7
N00000008,Aldergrove_3,288,49.65,8.0,40,30.6,56.2,48.9
N00000009,Aldergrove_3,727,51.03,10.6,33,19.4,70.6,56.8
N00000010,Aldergrove_3,242,52.07,11.2,41,12.4,78.9,35.5
N00000011,Balloo,293,50.51,11.3,46,31.4,63.1,33.6
N00000012,Balloo,264,50.38,12.5,43,31.8,62.1,30.0
N00000013,Balloo,268,48.13,8.6,44,33.2,61.6,37.6
N00000014,Balloo,460,51.52,8.9,36,39.1,52.2,34.3
N00000015,Balloo,226,51.33,11.5,51,32.7,63.3,25.9
N00000016,Balloo,223,49.78,11.2,45,22.9,67.7,33.7
N00000017,Ballycraigy,340,57.35,13.5,33,12.6,74.7,30.3
N00000018,Ballycraigy,229,50.22,12.7,36,11.8,77.7,36.4
N00000019,Ballycraigy,261,49.81,14.2,40,5.0,83.1,22.4
N00000020,Ballycraigy,236,55.93,8.1,33,9.7,80.9,32.3
N00000021,Ballycraigy,269,50.19,10.0,39,15.6,72.1,34.3
N00000022,Ballycraigy,269,54.28,14.1,40,13.4,77.0,27.2
N00000023,Ballycraigy,218,51.83,9.6,43,5.0,83.0,21.2
N00000024,Clady,533,48.03,17.4,38,12.0,80.7,47.8
N00000025,Clady,460,49.13,15.4,45,15.0,78.3,41.8
N00000026,Clady,466,50.43,15.7,42,21.9,72.3,47.2
N00000027,Clady,540,47.04,15.4,34,57.2,37.2,42.6
N00000028,Clady,236,47.03,19.1,41,72.5,22.0,39.1
N00000029,Clady,403,47.64,15.9,40,10.2,78.9,46.1
N00000030,Clady,375,48.53,12.3,44,20.3,74.9,44.0
N00000031,Cranfield,707,47.81,17.7,34,88.8,10.2,42.3
N00000032,Cranfield,386,53.11,15.3,39,58.5,36.3,43.0
N00000033,Cranfield,498,46.79,11.8,37,57.6,38.6,40.2
N00000034,Cranfield,474,50.42,9.7,40,39.2,54.0,43.8
N00000035,Cranfield,291,53.26,10.0,35,52.2,43.0,28.8
N00000036,Cranfield,345,51.88,11.9,37,59.1,33.3,42.7
N00000037,Crumlin_1,285,51.58,9.8,44,80.4,17.2,42.0
N00000038,Crumlin_1,406,51.48,17.7,41,76.8,20.0,37.7
N00000039,Crumlin_1,1262,51.51,16.9,31,82.7,15.0,41.0
N00000040,Crumlin_2,265,54.34,14.0,35,75.1,20.8,28.4
N00000041,Crumlin_2,462,55.19,20.6,31,92.6,6.5,48.1
N00000042,Crumlin_2,410,51.71,16.8,34,78.3,19.3,38.1
N00000043,Crumlin_2,1245,51.57,18.6,30,80.3,17.7,44.0
N00000044,Crumlin_2,312,52.56,21.8,31,71.2,22.8,34.2
N00000045,Drumanaway,515,47.18,12.8,37,11.5,83.9,43.1
N00000046,Drumanaway,394,49.24,14.7,42,7.9,85.3,39.4
N00000047,Drumanaway,374,51.34,10.2,47,17.1,77.0,46.0
N00000048,Drumanaway,304,54.61,13.8,35,17.4,75.3,20.5
N00000049,Drumanaway,254,51.18,8.3,36,26.8,66.5,29.2
N00000050,Drumanaway,299,48.49,11.4,45,20.4,75.6,44.0
N00000051,Farranshane,313,51.76,14.4,33,78.0,14.1,22.4
N00000052,Farranshane,309,48.22,14.2,35,61.8,31.4,34.2
N00000053,Farranshane,261,50.19,14.2,33,57.5,28.4,25.0
N00000054,Farranshane,266,56.77,15.0,30,18.8,61.3,34.2
N00000055,Farranshane,266,50.75,11.3,45,20.3,74.4,29.9
N00000056,Farranshane,283,49.47,8.8,41,24.0,65.4,24.2
N00000057,Fountain Hill,279,53.41,17.9,30,21.5,63.4,19.3
N00000058,Fountain Hill,266,54.14,13.2,29,19.9,70.3,29.8
N00000059,Fountain Hill,226,47.79,11.9,33,20.4,60.6,22.4
N00000060,Fountain Hill,394,54.31,9.9,35,26.9,65.0,27.1
N00000061,Fountain Hill,273,51.28,7.3,51,23.8,67.4,46.7
N00000062,Fountain Hill,351,52.71,14.0,46,23.6,67.2,56.2
N00000063,Fountain Hill,431,56.61,11.4,41,18.1,67.1,27.2
N00000064,Greystone,279,48.75,14.3,35,57.3,30.5,18.0
N00000065,Greystone,389,51.41,14.4,47,32.4,60.2,45.5
N00000066,Greystone,264,51.52,6.8,52,43.2,48.9,55.5
N00000067,Greystone,316,53.16,15.2,33,46.8,39.2,20.9
N00000068,Greystone,371,50.40,17.0,41,24.5,63.3,47.1
N00000069,Greystone,334,53.29,18.9,27,50.0,39.5,18.4
N00000070,Massereene_1,243,54.73,10.3,56,42.4,54.7,57.6
N00000071,Massereene_1,283,54.42,3.9,50,44.5,47.0,40.3
N00000072,Massereene_1,1753,49.69,13.6,33,31.8,56.6,45.8
N00000073,Massereene_1,521,55.47,5.4,46,32.2,55.5,34.6
N00000074,Massereene_2,1047,50.43,10.3,31,42.2,48.5,55.7
N00000075,Massereene_2,410,38.54,15.1,31,40.0,47.3,50.5
N00000076,Massereene_2,344,49.71,15.4,38,43.6,48.3,48.1
N00000077,Massereene_2,275,50.91,16.0,40,54.9,41.8,44.0
N00000078,Massereene_2,488,49.59,15.0,33,45.7,42.4,50.2
N00000079,Parkgate,564,51.42,16.7,39,9.6,85.3,53.6
N00000080,Parkgate,424,46.93,15.3,40,6.6,84.4,61.2
N00000081,Parkgate,339,51.33,14.2,45,5.3,88.5,52.0
N00000082,Parkgate,342,48.83,13.7,44,9.1,88.3,51.8
N00000083,Parkgate,650,50.00,18.6,39,7.5,84.5,45.7
N00000084,Parkgate,456,48.03,16.2,43,3.7,88.8,49.1
N00000085,Randalstown_1,437,50.57,10.3,40,57.7,34.6,32.7
N00000086,Randalstown_1,395,50.13,13.9,30,82.0,13.7,39.8
N00000087,Randalstown_1,913,51.15,16.6,37,68.5,27.5,47.5
N00000088,Randalstown_2,216,55.56,9.3,54,17.1,79.6,28.6
N00000089,Randalstown_2,478,50.00,15.9,32,81.8,14.0,47.3
N00000090,Randalstown_2,392,51.28,18.4,36,82.1,13.5,42.8
N00000091,Randalstown_2,476,51.05,9.0,32,69.5,25.2,42.0
N00000092,Shilvodan,504,50.99,14.7,40,12.1,81.5,47.5
N00000093,Shilvodan,421,53.44,15.7,45,50.4,46.8,38.8
N00000094,Shilvodan,492,50.61,14.8,40,41.9,53.9,50.4
N00000095,Shilvodan,468,49.36,13.2,38,68.2,29.3,42.6
N00000096,Shilvodan,464,51.08,11.4,46,15.9,78.2,47.0
N00000097,Springfarm_1,850,50.59,14.6,30,37.1,51.3,41.3
N00000098,Springfarm_1,1192,49.92,10.4,31,36.8,49.9,50.7
N00000099,Springfarm_1,258,54.26,12.8,37,50.4,40.3,29.4
N00000100,Springfarm_1,341,55.72,8.8,35,60.7,26.7,35.8
N00000101,Springfarm_2,282,50.35,14.2,25,47.9,33.7,28.0
N00000102,Springfarm_2,318,49.06,13.5,37,38.1,47.8,46.7
N00000103,Springfarm_2,623,52.97,10.1,32,37.4,48.0,29.5
N00000104,Springfarm_2,322,48.45,11.5,29,54.7,32.9,33.3
N00000105,Steeple,327,51.07,11.6,40,19.9,70.9,21.3
N00000106,Steeple,198,54.04,16.7,35,10.6,77.8,20.9
N00000107,Steeple,269,52.04,11.9,32,16.0,71.4,20.0
N00000108,Steeple,243,50.62,9.9,48,19.3,78.6,40.2
N00000109,Steeple,512,51.76,7.4,32,23.6,65.6,29.6
N00000110,Steeple,258,50.00,10.1,39,18.2,66.3,24.3
N00000111,Stiles,356,49.44,12.6,40,38.5,48.3,48.5
N00000112,Stiles,402,52.24,17.9,32,33.1,54.7,31.8
N00000113,Stiles,309,51.46,12.3,35,38.8,49.2,37.4
N00000114,Stiles,318,48.43,12.9,41,45.3,46.2,42.7
N00000115,Stiles,302,52.32,11.3,35,46.4,40.1,25.9
N00000116,Stiles,287,50.87,12.9,31,32.4,52.6,30.9
N00000117,Stiles,168,52.38,16.1,31,27.4,61.9,14.2
N00000118,Templepatrick,333,49.25,11.4,49,12.9,74.2,55.5
N00000119,Templepatrick,289,52.94,10.4,54,5.9,85.1,59.3
N00000120,Templepatrick,323,53.25,15.2,49,17.0,78.3,53.6
N00000121,Templepatrick,293,53.58,10.2,41,9.9,79.9,46.5
N00000122,Templepatrick,481,50.10,11.0,41,18.5,70.3,55.9
N00000123,Templepatrick,351,51.28,12.8,47,14.2,81.8,69.8
N00000124,Templepatrick,369,53.39,4.9,53,15.7,77.5,56.8
N00000125,Toome,464,54.31,17.5,34,80.8,16.4,37.6
N00000126,Toome,481,51.56,16.8,31,96.3,3.3,29.2
N00000127,Toome,405,49.14,12.3,32,82.7,14.6,31.4
N00000128,Toome,991,48.74,14.7,33,91.9,6.6,33.6
N00000129,Toome,346,56.65,16.8,31,94.2,4.3,15.3
N00000130,Ballygowan_1,498,51.00,20.3,33,4.8,83.3,50.6
N00000131,Ballygowan_1,388,52.58,14.2,44,3.6,89.4,51.8
N00000132,Ballygowan_1,366,49.73,14.2,44,33.1,60.4,43.2
N00000133,Ballygowan_1,322,52.17,6.5,44,29.8,66.5,40.3
N00000134,Ballygowan_2,437,49.89,12.1,39,8.2,81.2,51.5
N00000135,Ballygowan_2,312,47.76,13.5,38,15.4,74.7,27.1
N00000136,Ballygowan_2,507,50.69,14.4,39,6.5,85.6,52.1
N00000137,Ballygowan_2,315,48.57,16.2,41,6.3,82.9,47.1
N00000138,Ballygowan_2,464,51.94,16.8,39,2.8,89.2,54.6
N00000139,Ballyrainey,301,51.50,7.0,51,9.6,80.7,44.5
N00000140,Ballyrainey,333,49.85,7.5,49,12.6,78.4,37.6
N00000141,Ballyrainey,443,54.85,12.9,45,7.9,83.5,29.0
N00000142,Ballyrainey,205,52.68,9.8,46,10.7,76.6,28.0
N00000143,Ballyrainey,215,47.44,9.3,43,9.3,79.5,22.5
N00000144,Ballyrainey,228,51.32,9.6,35,6.1,79.4,27.3
N00000145,Ballyrainey,124,60.48,9.7,57,8.1,82.3,16.2
N00000146,Ballyrainey,271,49.45,14.4,48,11.4,82.3,46.1
N00000147,Ballyrainey,227,46.70,8.8,40,9.3,76.2,33.8
N00000148,Ballywalter_1,676,51.48,12.0,31,3.3,86.2,32.4
N00000149,Ballywalter_1,432,54.17,9.5,39,2.3,89.6,41.3
N00000150,Ballywalter_1,365,52.05,13.4,47,1.6,90.1,53.1
N00000151,Ballywalter_1,283,45.94,9.9,45,5.3,83.7,30.4
N00000152,Ballywalter_1,270,49.63,11.9,44,2.2,90.7,21.0
N00000153,Ballywalter_2,250,54.80,9.6,41,5.2,85.2,25.1
N00000154,Ballywalter_2,259,45.56,13.1,43,5.8,88.8,37.8
N00000155,Ballywalter_2,337,49.55,12.8,43,10.1,78.9,38.3
N00000156,Ballywalter_2,301,54.49,11.6,46,6.0,86.0,47.8
N00000157,Ballywalter_2,368,50.54,10.9,44,14.4,72.6,46.2
N00000158,Ballywalter_2,678,51.03,10.9,44,6.0,80.7,42.3
N00000159,Bradshaw's Brae_1,221,52.49,6.3,53,8.6,77.8,38.0
N00000160,Bradshaw's Brae_1,322,52.80,7.8,49,9.9,82.0,51.5
N00000161,Bradshaw's Brae_1,342,48.83,14.0,50,5.3,85.4,63.7
N00000162,Bradshaw's Brae_1,242,48.35,7.0,48,9.9,80.2,39.2
N00000163,Bradshaw's Brae_1,311,52.09,10.9,44,10.9,73.3,32.1
N00000164,Bradshaw's Brae_2,288,47.92,8.7,50,2.8,90.3,55.2
N00000165,Bradshaw's Brae_2,325,46.46,10.8,46,9.5,85.2,53.8
N00000166,Bradshaw's Brae_2,273,53.11,6.2,52,7.0,83.5,53.0
N00000167,Bradshaw's Brae_2,379,52.77,14.2,45,5.0,87.9,54.7
N00000168,Bradshaw's Brae_2,345,51.30,10.7,48,6.7,84.1,52.3
N00000169,Carrowdore_1,704,49.01,12.5,47,4.1,87.4,46.0
N00000170,Carrowdore_1,370,50.27,14.3,38,1.4,85.1,36.6
N00000171,Carrowdore_1,416,53.37,16.3,43,4.8,86.3,49.5
N00000172,Carrowdore_2,772,49.09,11.4,44,4.0,83.4,45.4
N00000173,Carrowdore_2,373,47.72,9.1,46,0.8,92.8,49.0
N00000174,Carrowdore_2,393,55.98,13.0,35,3.1,84.5,28.8
N00000175,Carrowdore_2,373,50.67,9.7,38,2.9,90.1,43.4
N00000176,Central,474,52.95,11.0,42,10.3,79.1,29.6
N00000177,Central,323,52.94,8.7,41,14.9,73.1,27.1
N00000178,Central,667,55.02,11.4,45,14.8,72.9,29.5
N00000179,Central,852,51.29,7.6,40,10.8,74.2,37.3
N00000180,Central,280,57.14,11.4,39,5.7,84.3,21.2
N00000181,Central,274,41.97,6.9,43,11.3,75.9,31.9
N00000182,Comber East_1,228,55.70,5.7,38,3.5,89.0,41.2
N00000183,Comber East_1,293,48.81,11.3,36,6.5,75.1,54.1
N00000184,Comber East_1,372,56.45,5.6,47,7.8,78.8,47.3
N00000185,Comber East_1,211,54.03,5.7,60,1.9,92.9,41.7
N00000186,Comber East_1,299,54.85,13.0,34,4.0,83.9,37.2
N00000187,Comber East_1,255,56.47,12.2,41,7.1,80.0,25.3
N00000188,Comber East_2,347,51.87,15.3,34,3.2,83.9,28.9
N00000189,Comber East_2,341,52.79,15.2,40,1.2,89.4,52.8
N00000190,Comber East_2,304,49.67,11.8,46,0.0,93.1,48.6
N00000191,Comber East_2,303,47.52,10.2,49,4.3,90.8,44.7
N00000192,Comber North_1,302,53.64,9.9,37,9.3,79.1,33.2
N00000193,Comber North_1,291,54.64,17.9,30,6.9,75.6,29.1
N00000194,Comber North_1,255,54.51,7.1,44,6.3,83.9,35.5
N00000195,Comber North_1,246,54.47,7.7,54,3.7,88.2,28.8
N00000196,Comber North_1,237,56.54,13.1,49,7.2,83.1,20.1
N00000197,Comber North_2,326,50.92,13.8,37,6.7,85.3,46.2
N00000198,Comber North_2,287,51.92,9.1,38,5.9,84.0,46.1
N00000199,Comber North_2,350,52.00,14.0,40,5.7,84.9,51.3
N00000200,Comber North_2,331,53.78,10.3,36,3.0,90.6,46.3
N00000201,Comber West_1,294,53.40,5.8,53,0.0,92.2,53.9
N00000202,Comber West_1,304,52.30,9.5,53,4.3,89.1,62.0
N00000203,Comber West_1,334,48.20,12.0,49,8.7,80.2,41.6
N00000204,Comber West_1,393,51.15,8.9,44,3.6,83.5,44.3
N00000205,Comber West_2,303,49.17,12.2,41,8.6,79.9,52.4
N00000206,Comber West_2,390,52.05,4.4,43,5.4,83.1,52.1
N00000207,Comber West_2,253,50.99,9.1,43,5.5,84.2,45.1
N00000208,Comber West_2,316,50.00,9.5,46,1.3,93.0,57.5
N00000209,Comber West_2,356,50.00,17.1,43,2.5,84.8,59.6
N00000210,Donaghadee North_1,383,57.44,6.3,49,9.4,78.3,38.8
N00000211,Donaghadee North_1,528,53.60,6.8,54,8.7,81.1,41.5
N00000212,Donaghadee North_1,175,49.71,12.6,43,7.4,76.6,35.6
N00000213,Donaghadee North_1,281,47.69,7.1,50,8.2,79.0,52.3
N00000214,Donaghadee North_1,323,53.87,7.7,44,7.7,81.4,51.9
N00000215,Donaghadee North_2,400,50.75,12.0,47,6.8,82.5,52.9
N00000216,Donaghadee North_2,397,49.62,11.8,44,5.0,82.1,45.2
N00000217,Donaghadee North_2,479,51.36,15.2,51,9.0,86.4,65.1
N00000218,Donaghadee North_2,361,49.03,12.5,51,4.7,85.6,65.0
N00000219,Donaghadee South_1,245,46.94,9.0,41,5.3,82.0,19.7
N00000220,Donaghadee South_1,284,47.54,16.2,30,1.8,83.5,17.2
N00000221,Donaghadee South_1,262,54.20,13.7,41,2.7,88.9,24.2
N00000222,Donaghadee South_1,298,54.36,10.4,44,3.0,88.9,44.1
N00000223,Donaghadee South_1,319,49.53,16.6,45,5.6,87.1,42.1
N00000224,Donaghadee South_2,243,47.33,10.3,43,7.4,79.0,41.0
N00000225,Donaghadee South_2,147,57.14,6.8,66,6.1,87.8,41.1
N00000226,Donaghadee South_2,261,56.70,12.3,52,8.4,81.6,51.3
N00000227,Donaghadee South_2,195,52.31,6.7,55,6.2,82.6,35.6
N00000228,Donaghadee South_2,306,50.65,9.8,50,2.9,93.5,42.1
N00000229,Donaghadee South_2,395,52.15,12.4,48,4.6,85.6,48.2
N00000230,Glen_1,293,55.97,14.0,35,7.5,78.2,28.4
N00000231,Glen_1,324,53.40,15.1,26,5.9,67.9,13.7
N00000232,Glen_1,309,52.75,14.6,35,12.6,72.5,28.4
N00000233,Glen_1,258,50.39,6.2,40,6.6,76.0,37.7
N00000234,Glen_1,256,50.39,10.5,37,17.6,66.4,31.2
N00000235,Glen_2,323,53.87,12.7,43,10.2,79.6,45.8
N00000236,Glen_2,291,53.95,18.2,32,7.2,80.1,34.3
N00000237,Glen_2,416,47.84,16.3,43,5.8,81.7,58.5
N00000238,Glen_2,306,51.31,8.5,53,4.2,90.5,67.5
N00000239,Gregstown_1,254,53.54,13.4,37,2.8,78.7,23.7
N00000240,Gregstown_1,354,58.47,20.1,26,4.8,78.8,27.1
N00000241,Gregstown_1,424,48.35,20.3,42,9.2,80.2,63.6
N00000242,Gregstown_1,360,50.83,18.6,41,5.3,86.4,56.8
N00000243,Gregstown_2,265,52.08,12.8,44,10.2,76.6,34.0
N00000244,Gregstown_2,275,53.45,13.1,38,8.0,82.5,25.5
N00000245,Gregstown_2,314,50.00,9.2,44,9.2,79.0,40.3
N00000246,Gregstown_2,309,53.72,11.3,39,9.1,82.2,28.8
N00000247,Gregstown_2,309,48.87,9.4,48,7.1,83.5,44.0
N00000248,Gregstown_3,337,50.15,12.8,46,6.8,84.6,51.9
N00000249,Gregstown_3,386,48.45,13.2,34,8.3,76.7,46.4
N00000250,Gregstown_3,401,52.37,12.5,37,5.0,81.8,51.3
N00000251,Gregstown_3,456,50.66,20.0,32,5.7,81.6,52.1
N00000252,Killinchy_1,345,48.99,16.8,43,4.1,82.6,55.0
N00000253,Killinchy_1,499,49.10,11.6,42,4.0,90.6,43.4
N00000254,Killinchy_1,315,50.79,13.7,45,2.9,90.2,55.5
N00000255,Killinchy_1,351,50.43,11.1,47,10.8,79.8,50.4
N00000256,Killinchy_2,780,49.36,11.5,46,9.4,77.7,60.4
N00000257,Killinchy_2,447,54.14,12.8,39,4.3,85.9,45.4
N00000258,Killinchy_2,379,51.72,20.1,45,9.2,83.4,60.7
N00000259,Kircubbin_1,465,51.83,12.7,41,59.8,34.0,43.0
N00000260,Kircubbin_1,560,49.82,10.7,36,36.2,55.9,44.4
N00000261,Kircubbin_1,561,49.55,13.4,38,59.0,34.9,42.2
N00000262,Kircubbin_1,419,49.64,13.6,41,58.9,34.1,43.3
N00000263,Kircubbin_2,239,49.79,13.8,41,63.2,31.8,28.0
N00000264,Kircubbin_2,566,50.53,17.5,31,63.3,29.7,35.0
N00000265,Kircubbin_2,351,51.85,14.5,43,70.1,25.4,24.9
N00000266,Kircubbin_2,328,48.78,14.9,40,61.9,33.2,42.1
N00000267,Lisbane_1,431,48.72,19.0,45,3.2,87.2,63.6
N00000268,Lisbane_1,384,46.61,12.0,43,5.2,85.9,52.5
N00000269,Lisbane_1,347,47.84,12.1,49,4.6,89.9,50.4
N00000270,Lisbane_1,371,49.87,10.5,46,4.6,83.6,40.1
N00000271,Lisbane_2,380,48.68,12.9,44,6.3,85.5,52.4
N00000272,Lisbane_2,295,54.58,7.8,48,7.1,83.1,41.8
N00000273,Lisbane_2,460,48.70,18.3,45,6.1,81.1,61.1
N00000274,Lisbane_2,468,51.71,8.8,44,7.5,84.4,51.7
N00000275,Loughries_1,291,50.52,13.7,45,10.0,80.1,38.2
N00000276,Loughries_1,315,52.70,12.1,38,6.3,80.0,40.9
N00000277,Loughries_1,310,49.68,17.4,37,4.8,81.6,44.9
N00000278,Loughries_1,304,51.64,12.2,38,7.2,84.5,40.3
N00000279,Loughries_1,181,51.93,7.2,31,7.7,76.2,50.7
N00000280,Loughries_1,392,57.91,13.8,28,5.6,73.5,29.1
N00000281,Loughries_2,349,50.72,12.3,49,5.2,88.0,47.2
N00000282,Loughries_2,364,49.18,13.5,44,8.5,76.9,42.8
N00000283,Loughries_2,346,50.00,13.9,41,7.8,77.5,53.5
N00000284,Loughries_2,382,53.93,15.2,32,5.0,77.5,38.8
N00000285,Loughries_2,322,55.59,17.4,28,4.7,75.5,23.9
N00000286,Millisle_1,271,51.66,11.8,47,1.5,91.5,37.4
N00000287,Millisle_1,297,52.19,8.8,37,4.4,78.8,21.5
N00000288,Millisle_1,353,52.12,9.9,37,2.3,78.2,44.3
N00000289,Millisle_1,496,50.00,11.7,32,2.8,85.5,42.8
N00000290,Millisle_1,271,54.61,10.3,43,2.2,91.9,23.3
N00000291,Millisle_2,512,50.78,8.2,39,3.9,84.0,41.5
N00000292,Millisle_2,731,50.89,13.4,37,5.9,82.4,51.6
N00000293,Millisle_2,522,50.96,14.4,35,6.7,80.7,65.3
N00000294,Millisle_2,405,54.07,10.9,45,4.0,87.4,46.3
N00000295,Millisle_2,421,57.48,11.9,46,9.3,74.1,55.5
N00000296,Movilla_1,287,55.40,13.2,38,10.1,81.5,46.2
N00000297,Movilla_1,371,50.40,7.0,50,10.5,83.3,42.8
N00000298,Movilla_1,335,49.55,16.1,36,6.9,77.6,40.6
N00000299,Movilla_1,324,51.23,7.1,42,11.4,78.4,46.8
N00000300,Movilla_1,296,54.39,10.8,41,12.8,82.1,36.2
N00000301,Movilla_2,366,50.00,14.5,35,11.2,76.8,56.7
N00000302,Movilla_2,363,51.79,17.4,40,6.9,79.1,49.1
N00000303,Movilla_2,318,49.37,13.2,37,5.7,83.6,50.9
N00000304,Movilla_2,342,46.49,13.7,31,10.8,74.6,47.1
N00000305,Movilla_2,395,47.85,16.5,40,3.5,87.8,60.8
N00000306,Movilla_3,381,49.61,16.8,35,7.1,78.5,51.7
N00000307,Movilla_3,355,50.14,15.8,37,7.3,81.1,43.9
N00000308,Movilla_3,277,50.90,15.5,41,9.7,76.2,44.8
N00000309,Movilla_3,378,49.47,19.6,38,7.7,77.2,50.0
N00000310,Portaferry_1,408,51.72,12.3,49,66.4,30.4,41.3
