SA2011,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
N00000001,0.004575136254019303,0.01518539740557881,7.616750405552787,18.320299856519096,0.005179575936093315,0.004613187222235966,5.172875922629018,8.517900477604028,32.760141093474424,20.480599647266317,0.5731922398589107
N00000002,0.09,0.12,11.37,31.428002389962163,0.12,0.08,10.52,27.126070503883692,17.879188712522044,4.805996472663143,32.95855379188713
N00000003,0.11000003665439331,0.12,14.850001722756485,40.96793923700375,0.10000001832719665,0.11999998167280333,12.259998515497072,33.47938121071917,17.72486772486772,25.440917107583772,11.552028218694888
N00000004,0.07,0.13,16.02,44.214299940250946,0.06,0.08,9.51,23.262298346942845,24.86772486772487,42.239858906525576,21.803350970017632
N00000005,0.11,0.09,14.42,39.832702648874736,0.11,0.1,14.579999999999998,41.46584345747859,37.67636684303351,57.38536155202822,29.541446208112877
N00000006,0.13,0.12000000000000001,15.790000000000001,43.457478589922324,0.11,0.11,11.45,30.55168293168692,14.682539682539685,3.8139329805996436,11.441798941798941
N00000007,0.06,0.12,10.66,29.436367257518427,0.08,0.04,8.51,19.85660227046405,36.28747795414462,52.71164021164021,29.695767195767196
N00000008,0.05564705834611721,0.450537816046774,40.41016813218905,85.5799592119535,0.07931092382413396,0.31053781604677394,32.1374622610553,75.27175792811465,64.88095238095238,54.188712522045854,73.36860670194002
N00000009,0.060000000000000005,0.09,9.83,26.568412666799446,0.13,0.09,12.66,34.83369846644094,15.71869488536155,36.79453262786596,5.665784832451504
N00000010,0.049999999999999996,0.12,12.969999999999999,36.06851224855606,0.10999999999999999,0.08,12.53,34.35570603465445,37.83068783068783,30.026455026455025,45.45855379188713
N00000011,0.14,0.14,13.01,36.20792670782712,0.24,0.15,22.61,62.477594104760016,47.15608465608465,6.437389770723101,55.07054673721341
N00000012,0.12,0.15,13.01,36.22784305915157,0.15,0.15,19.5,55.36745668193587,39.96913580246913,17.79100529100529,49.66931216931217
N00000013,0.08,0.12,7.1,16.709818761202943,0.15,0.09,11.25,29.89444333798048,40.961199294532626,20.524691358024693,60.008818342151685
N00000014,0.19999999999999998,0.18,17.78,48.814977096195975,0.19999999999999998,0.09,14.62,41.60525791674965,40.4320987654321,19.334215167548496,55.75396825396825
N00000015,0.2,0.24,24.89,66.00278828918542,0.31,0.18,23.69,65.12646883091018,74.86772486772486,45.877425044091716,82.49559082892416
N00000016,0.23,0.2,22.48,60.72495518820952,0.4,0.18,27.98,72.5552678749253,77.09435626102292,79.4753086419753,67.85714285714286
N00000017,0.29,0.2,26.769999999999996,70.28480382393946,0.35,0.15,29.09,74.02907787293368,67.54850088183422,82.6278659611993,61.728395061728406
N00000018,0.12000000000000001,0.16,15.23,41.94383588926509,0.11,0.09,13.99,39.31487751443935,28.527336860670193,14.748677248677245,39.52821869488537
N00000019,0.26,0.21,26.81,70.42421828321052,0.28,0.18,30.069999999999997,75.66221868153754,64.02116402116403,25.330687830687825,75.70546737213404
N00000020,0.28,0.2,26.2,69.12965544712209,0.43,0.17,36.01,83.05118502290381,88.95502645502646,91.62257495590829,84.92063492063492
N00000021,0.19,0.17,18.6,50.86636128261303,0.32,0.23,35.06,82.0952001593308,64.81481481481481,28.042328042328045,74.49294532627866
N00000022,0.24,0.15,19.27,52.957578171678946,0.24,0.11,24.96,67.33718382792273,73.2363315696649,79.60758377425043,53.1305114638448
N00000023,0.26,0.2,25.2,66.7396932881896,0.32,0.23,34.95,81.93586934873531,70.08377425044092,71.20811287477954,67.5925925925926
N00000024,0.04,0.06,7.530000000000001,18.303126867157935,0.06,0.05,8.02,18.303126867157935,16.953262786596124,25.992063492063487,11.64021164021164
N00000025,0.1,0.11,17.39,47.799243178649675,0.08,0.09,12.61,34.594702250547705,32.341269841269835,28.63756613756614,24.93386243386243
