DZ2021_cd,DZ2021_nm,lgd1993
N20003396,Downpatrick_B2,DOWN
N20003420,Downpatrick_B3,DOWN
N20003423,Downpatrick_H3,DOWN
N20003425,Downpatrick_J1,DOWN
N20003426,Downpatrick_J2,DOWN
N20003424,Downpatrick_H4,DOWN
N20003414,Downpatrick_H1,DOWN
N20003402,Downpatrick_D1,DOWN
N20003421,Downpatrick_F4,DOWN
N20003419,Downpatrick_G4,DOWN
N20003415,Downpatrick_F2,DOWN
N20003418,Downpatrick_F3,DOWN
N20003412,Downpatrick_F1,DOWN
N20003410,Downpatrick_E6,DOWN
N20003413,Downpatrick_G1,DOWN
N20003416,Downpatrick_G2,DOWN
N20003417,Downpatrick_G3,DOWN
N20003411,Downpatrick_D4,DOWN
N20003409,Downpatrick_D3,DOWN
N20003407,Downpatrick_E4,DOWN
N20003403,Downpatrick_E1,DOWN
N20003405,Downpatrick_D2,DOWN
N20003400,Downpatrick_C4,DOWN
N20003399,Downpatrick_C3,DOWN
N20003397,Downpatrick_C1,DOWN
N20003398,Downpatrick_C2,DOWN
N20003401,Downpatrick_C5,DOWN
N20003406,Downpatrick_E3,DOWN
N20003404,Downpatrick_E2,DOWN
N20003408,Downpatrick_E5,DOWN
N20003328,Slieve_Croob_D4,DOWN
N20003422,Downpatrick_H2,DOWN
N20003429,Downpatrick_K1,DOWN
N20003427,Downpatrick_J3,DOWN
N20003428,Downpatrick_J4,DOWN
N20003430,Downpatrick_K2,DOWN
N20003431,Downpatrick_K3,DOWN
N20003279,The_Mournes_D5,DOWN
N20003277,The_Mournes_E4,DOWN
N20003272,The_Mournes_E1,DOWN
N20003275,The_Mournes_F2,DOWN
N20003264,The_Mournes_C1,DOWN
N20003263,The_Mournes_B1,DOWN
N20003265,The_Mournes_B2,DOWN
N20003267,The_Mournes_B3,DOWN
N20003269,The_Mournes_B4,DOWN
N20003270,The_Mournes_C3,DOWN
N20003268,The_Mournes_C2,DOWN
N20003274,The_Mournes_E3,DOWN
N20003273,The_Mournes_E2,DOWN
N20003278,The_Mournes_D4,DOWN
N20003271,The_Mournes_D3,DOWN
N20003266,The_Mournes_D2,DOWN
N20003259,The_Mournes_A3,DOWN
N20003262,The_Mournes_D1,DOWN
N20003258,The_Mournes_A2,DOWN
N20003343,Slieve_Croob_G5,DOWN
N20003345,Slieve_Croob_J4,DOWN
N20003342,Slieve_Croob_J2,DOWN
N20003341,Slieve_Croob_J1,DOWN
N20003337,Slieve_Croob_G4,DOWN
N20003339,Slieve_Croob_H2,DOWN
N20003340,Slieve_Croob_H3,DOWN
N20003338,Slieve_Croob_H1,DOWN
N20003335,Slieve_Croob_F3,DOWN
N20003330,Slieve_Croob_F2,DOWN
N20003329,Slieve_Croob_F1,DOWN
N20003324,Slieve_Croob_C3,DOWN
N20003326,Slieve_Croob_C5,DOWN
N20003325,Slieve_Croob_C4,DOWN
N20003332,Slieve_Croob_G1,DOWN
