DZ2021_cd,SA2011,weight
N20000001,N00000092,0.5107346954062858
N20000001,N00000083,0.4516401933561562
N20000001,N00000096,0.03749524260570622
N20000001,N00000603,5.306280659392082e-05
N20000001,N00000604,3.2215581004444726e-05
N20000001,N00000582,2.5721031480880094e-05
N20000001,N00000584,1.4225865011934563e-05
N20000001,N00000610,4.6613377391601455e-06
N20000002,N00003995,0.9995666510070992
N20000002,N00000585,0.00021304968575147027
N20000002,N00000586,0.00017792547095208197
N20000002,N00000083,3.5140779539334876e-05
N20000002,N00000084,3.8829483691851116e-06
N20000002,N00003935,2.464684665215642e-06
N20000002,N00003150,1.1831487541673267e-06
N20000003,N00000046,0.855409169418828
N20000003,N00000047,0.13463901179426593
N20000003,N00000045,0.009800892626047011
N20000003,N00000595,8.384768907017227e-05
N20000003,N00000594,4.222101813001422e-05
N20000003,N00000590,2.4026554421765645e-05
N20000004,N00000095,0.4822065023937187
N20000004,N00000094,0.44052370529518814
N20000004,N00000092,0.07648883912958299
N20000004,N00000093,0.0006088380121892117
N20000004,N00000608,0.00013112080629637104
N20000004,N00000610,3.60453706946698e-05
N20000004,N00000590,4.093834250796427e-06
N20000005,N00000084,0.4872622161042195
N20000005,N00000083,0.45100098767516683
N20000005,N00000079,0.06166610771902947
N20000005,N00000586,3.662887431995074e-05
N20000005,N00003995,2.4266905174939283e-05
N20000005,N00003999,7.2238371777141215e-06
N20000005,N00000582,2.5880884658254385e-06
N20000006,N00000093,0.35074136463012207
N20000006,N00000096,0.338914429264993
N20000006,N00000094,0.24311316668575644
N20000006,N00000092,0.050640539547084015
N20000006,N00000095,0.0165904998720439
N20000007,N00000125,0.4836193883369457
N20000007,N00000126,0.3901532154194195
N20000007,N00000045,0.12617498310919448
N20000007,N00000589,2.4031546575208353e-05
N20000007,N00000127,2.2617722217532493e-05
N20000007,N00003531,3.0198622989170545e-06
N20000007,N00000595,2.753974166017481e-06
N20000008,N00000095,0.34518817158220705
N20000008,N00000047,0.2008708303518104
N20000008,N00000045,0.1516932141916471
N20000008,N00000046,0.09467098197154629
N20000008,N00000093,0.07831018167045081
N20000008,N00000091,0.04622803465463315
N20000008,N00000034,0.038964615739275066
N20000008,N00000089,0.0230510668954366
N20000008,N00000087,0.008909648047484845
N20000008,N00000048,0.0069789160510464405
N20000008,N00000049,0.0028002919746366334
N20000008,N00000050,0.0023340352029512625
N20000009,N00000045,0.8417775239048368
N20000009,N00000046,0.14432274109748403
N20000009,N00000033,0.013587655048445087
N20000009,N00000125,0.00021831960303615285
N20000009,N00000047,9.298688079930965e-05
N20000010,N00000079,0.38959747370746267
N20000010,N00000096,0.27739537243199036
N20000010,N00000083,0.2470746353626979
N20000010,N00000082,0.08434825429363588
N20000010,N00000084,0.001513988013479698
N20000010,N00000092,5.801186387905551e-05
N20000010,N00000052,8.266894703307945e-06
N20000010,N00000103,3.997432152032616e-06
N20000011,N00000048,0.4737822162427383
N20000011,N00000049,0.4322581087611155
N20000011,N00000050,0.06817084243048147
N20000011,N00000091,0.024826982318608963
N20000011,N00000088,0.000760532115058685
N20000011,N00000047,0.00020131813200307083
N20000012,N00000047,0.578225375612028
N20000012,N00000050,0.3143239493276648
N20000012,N00000088,0.06093584137255095
N20000012,N00000049,0.04651393748502634
N20000013,N00000096,0.5010464794632066
N20000013,N00000093,0.20241672440695677
N20000013,N00000094,0.11356757640259108
N20000013,N00000092,0.09800909421306335
N20000013,N00000074,0.07797620902915295
N20000013,N00000087,0.00698342987721777
N20000014,N00000034,0.5952708216160951
N20000014,N00000050,0.27382702397826053
N20000014,N00000085,0.06091951151255588
N20000014,N00000047,0.02717008927680707
