DZ2021_cd,DZ2021_nm,ward_key
N20003396,Downpatrick_B2,down|strangford
N20003420,Downpatrick_B3,down|strangford
N20003423,Downpatrick_H3,down|ardglass
N20003425,Downpatrick_J1,down|ardglass
N20003426,Downpatrick_J2,down|ardglass
N20003424,Downpatrick_H4,down|killough
N20003414,Downpatrick_H1,down|ardglass
N20003402,Downpatrick_D1,down|quoile
N20003421,Downpatrick_F4,down|cathedral
N20003419,Downpatrick_G4,down|cathedral
N20003415,Downpatrick_F2,down|cathedral
N20003418,Downpatrick_F3,down|cathedral
N20003412,Downpatrick_F1,down|cathedral
N20003410,Downpatrick_E6,down|cathedral
N20003413,Downpatrick_G1,down|cathedral
N20003416,Downpatrick_G2,down|cathedral
N20003417,Downpatrick_G3,down|audleys acre
N20003411,Downpatrick_D4,down|audleys acre
N20003409,Downpatrick_D3,down|audleys acre
N20003407,Downpatrick_E4,down|audleys acre
N20003403,Downpatrick_E1,down|quoile
N20003405,Downpatrick_D2,down|quoile
N20003400,Downpatrick_C4,down|quoile
N20003399,Downpatrick_C3,down|quoile
N20003397,Downpatrick_C1,down|quoile
N20003398,Downpatrick_C2,down|quoile
N20003401,Downpatrick_C5,down|quoile
N20003406,Downpatrick_E3,down|audleys acre
N20003404,Downpatrick_E2,down|quoile
N20003408,Downpatrick_E5,down|cathedral
N20003328,Slieve_Croob_D4,down|cathedral
N20003422,Downpatrick_H2,down|audleys acre
N20003429,Downpatrick_K1,down|killough
N20003427,Downpatrick_J3,down|ardglass
N20003428,Downpatrick_J4,down|ardglass
N20003430,Downpatrick_K2,down|killough
N20003431,Downpatrick_K3,down|killough
N20003279,The_Mournes_D5,down|donard
N20003277,The_Mournes_E4,down|donard
N20003272,The_Mournes_E1,down|donard
N20003275,The_Mournes_F2,down|tollymore
N20003264,The_Mournes_C1,down|tollymore
N20003263,The_Mournes_B1,down|tollymore
N20003265,The_Mournes_B2,down|shimna
N20003267,The_Mournes_B3,down|shimna
N20003269,The_Mournes_B4,down|shimna
N20003270,The_Mournes_C3,down|shimna
N20003268,The_Mournes_C2,down|shimna
N20003274,The_Mournes_E3,down|donard
N20003273,The_Mournes_E2,down|donard
N20003278,The_Mournes_D4,down|donard
N20003271,The_Mournes_D3,down|shimna
N20003266,The_Mournes_D2,down|shimna
N20003259,The_Mournes_A3,down|dundrum
N20003262,The_Mournes_D1,down|shimna
N20003258,The_Mournes_A2,down|tollymore
