OA_CODE,dea_1972,dea_1984,dea_1993,dea_2012
95NN220006,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010007,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010008,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010002,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN140001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN010006,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN220001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN220005,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020002,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070008,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070002,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070005,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070006,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070004,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070007,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070003,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN070001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040005,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040004,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040007,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040006,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040002,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020006,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020003,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020005,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180004,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN020004,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180002,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180001,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180007,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN180005,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
95NN040003,DOWN AREA B,DOWNPATRICK,DOWNPATRICK,Downpatrick
