lgd,total_pop,roman_catholic,presbyterian,church_of_ireland,methodist,other_notstated,catholic_pct,denom_sum,sum_vs_total_diff
NORTHERN IRELAND,1481959,414532,339818,281472,58731,387406,28.0,1481959,0
Antrim,44384,9960,13894,7514,890,12126,22.4,44384,0
Ards,57626,6042,22939,10591,2970,15084,10.5,57626,0
Armagh,47618,16000,7773,10186,1036,12623,33.6,47618,0
Ballymena,54426,8421,25187,6428,1384,13006,15.5,54426,0
Ballymoney,22873,5549,9098,2806,100,5320,24.3,22873,0
Banbridge,29885,6857,8840,5784,533,7871,22.9,29885,0
Belfast,295223,77037,59673,58987,17473,82053,26.1,295223,0
Carrickfergus,28458,1979,9210,6769,2275,8225,7.0,28458,0
Castlereagh,60757,3469,19644,15197,5258,17189,5.7,60757,0
Coleraine,46272,8397,15030,11449,730,10666,18.1,46272,0
Cookstown,26624,9399,4538,4867,275,7545,35.3,26624,0
Craigavon,71202,22463,7730,18665,3918,18426,31.5,71202,0
Down,52869,23955,8692,6124,564,13534,45.3,52869,0
Dungannon,41073,14978,5782,8466,904,10943,36.5,41073,0
Fermanagh,51008,21934,1410,13751,2817,11096,43.0,51008,0
Larne,28929,5697,11362,3647,1016,7207,19.7,28929,0
Limavady,26270,10094,5496,3942,143,6595,38.4,26270,0
Lisburn,82091,13278,19203,24622,3408,21580,16.2,82091,0
Londonderry,83384,45386,10473,8819,831,17875,54.4,83384,0
Magherafelt,30825,11857,5299,4249,96,9324,38.5,30825,0
Moyle,14252,5436,2932,2674,36,3174,38.1,14252,0
Newry and Mourne,72243,39506,8497,4177,379,19684,54.7,72243,0
Newtownabbey,71631,6192,24033,14983,5748,20675,8.6,71631,0
North Down,65849,4797,21660,16449,4732,18211,7.3,65849,0
Omagh,41159,18550,5107,5766,717,11019,45.1,41159,0
Strabane,35028,17299,6306,4560,498,6355,49.4,35018,-10
