district,ward,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,corrected
Antrim,Aldergrove,2186,1267,919,2887,1797,1090,
Antrim,Balloo,2471,1240,1231,2011,979,1032,read p19
Antrim,Ballycraigy,2513,1253,1260,2334,1205,1129,
Antrim,BaJlyrobin,2477,1285,1192,2387,1241,1146,
Antrim,Cranfield,2023,1031,992,1934,968,966,
Antrim,Crumlin,1751,880,871,1965,1026,939,
Antrim,Drumanaway,1779,871,908,1819,920,899,
Antrim,Massereene,2172,1005,1167,3251,1725,1526,
Antrim,Parkgate,1664,839,825,1702,856,846,
Antrim,Parkhall,3943,2077,1866,5680,2793,2887,
Antrim,Randalstown,1799,864,935,1910,905,1005,
Antrim,Stiles,3579,1798,1781,11637,5757,5880,
Antrim,Tardree,1665,806,859,1599,761,838,
Antrim,Templepatrick,1918,980,938,2089,1021,1068,
Antrim,Toome,2058,1028,1030,2098,1030,1068,
Ards,Ballygowan,2671,1373,1298,3226,1611,1615,
Ards,Baliyhalbert,2236,1094,1142,2409,1166,1243,
Ards,Carrowdore,2548,1304,1244,2991,1472,1519,
Ards,Central,3068,1448,1620,5186,2469,2717,
Ards,Comber North,3546,1794,1752,4766,2397,2369,
Ards,Comber South,2664,1313,1351,3575,1777,1798,
Ards,Donaghadee North,2226,1056,1170,2248,1054,1194,
Ards,Donaghadee South,2868,1375,1493,3310,1518,1792,
Ards,Glen,3291,1557,1734,3405,1640,1765,
Ards,Grey Abbey,2646,1274,1372,2913,1419,1494,
Ards,Killinchy,2168,1089,1079,2506,1263,1243,
Ards,Kircubbin,3006,1556,1450,3146,1585,1561,
Ards,Loughries,2909,1443,1466,3847,1937,1910,
Ards,Movilla,2563,1213,1350,5473,2633,2840,
Ards,Portaferry,2686,1336,1350,3183,1571,1612,
Ards,Scrabo,2739,1251,1488,3106,1397,1709,
Ards,Ulsterville,2943,1414,1529,2308,1110,1198,
Armagh,BaJiymartrim,2024,1057,967,1778,900,878,
Armagh,Carrigatuke,2371,1232,1139,2258,1150,1108,
Armagh,Charlemont,2166,1102,1064,2338,1163,1175,
Armagh,Demesne,2460,1223,1237,2707,1294,1413,
Armagh,Derrynoose,1903,1013,890,2050,1080,970,
Armagh,Downs,2669,1273,1396,1792,867,925,
Armagh,Hockley,2083,1119,964,2281,1249,1032,
Armagh,Keady,2145,1044,1101,2504,1240,1264,
Armagh,Killeen,2345,1163,1182,2976,1527,1449,
Armagh,Killylea,2118,1056,1062,2164,1070,1094,
Armagh,Laurelvale,2297,1120,1177,2294,1122,1172,
Armagh,Lisanally,3168,1532,1636,2829,1386,1443,
Armagh,Loughgall,2140,1053,1087,2170,1084,1086,
Armagh,LurgyvaJlen,2713,1360,1353,3201,1538,1663,inferred 1971_males 1971_females
Armagh,Markethill,2352,1232,1120,2286,1120,1166,
Armagh,Milford,2016,1054,962,1736,913,823,
Armagh,Poyntz Pass,2053,1023,1030,2007,991,1016,
