W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
antrim--aldergrove,ALDERGROVE,ANTRIM,Aldergrove,2186,1267,919,2887,1797,1090,32.1
antrim--balloo,BALLOO,ANTRIM,Balloo,2471,1240,1231,2011,979,1032,-18.6
antrim--ballycraigy,BALLYCRAIGY,ANTRIM,Ballycraigy,2513,1253,1260,2334,1205,1129,-7.1
antrim--ballyrobin,BALLYROBIN,ANTRIM,BaJlyrobin,2477,1285,1192,2387,1241,1146,-3.6
antrim--cranfield,CRANFIELD,ANTRIM,Cranfield,2023,1031,992,1934,968,966,-4.4
antrim--crumlin,CRUMLIN,ANTRIM,Crumlin,1751,880,871,1965,1026,939,12.2
antrim--drumanaway,DRUMANAWAY,ANTRIM,Drumanaway,1779,871,908,1819,920,899,2.2
antrim--massereene,MASSEREENE,ANTRIM,Massereene,2172,1005,1167,3251,1725,1526,49.7
antrim--parkgate,PARKGATE,ANTRIM,Parkgate,1664,839,825,1702,856,846,2.3
antrim--parkhall,PARKHALL,ANTRIM,Parkhall,3943,2077,1866,5680,2793,2887,44.1
antrim--randalstown,RANDALSTOWN,ANTRIM,Randalstown,1799,864,935,1910,905,1005,6.2
antrim--stiles,STILES,ANTRIM,Stiles,3579,1798,1781,11637,5757,5880,225.1
antrim--tardree,TARDREE,ANTRIM,Tardree,1665,806,859,1599,761,838,-4.0
antrim--templepatrick,TEMPLEPATRICK,ANTRIM,Templepatrick,1918,980,938,2089,1021,1068,8.9
antrim--toome,TOOME,ANTRIM,Toome,2058,1028,1030,2098,1030,1068,1.9
ards--ballygowan,BALLYGOWAN,ARDS,Ballygowan,2671,1373,1298,3226,1611,1615,20.8
ards--ballyhalbert,BALLYHALBERT,ARDS,Baliyhalbert,2236,1094,1142,2409,1166,1243,7.7
ards--carrowdore,CARROWDORE,ARDS,Carrowdore,2548,1304,1244,2991,1472,1519,17.4
ards--central,CENTRAL,ARDS,Central,3068,1448,1620,5186,2469,2717,69.0
ards--comber-north,COMBER NORTH,ARDS,Comber North,3546,1794,1752,4766,2397,2369,34.4
ards--comber-south,COMBER SOUTH,ARDS,Comber South,2664,1313,1351,3575,1777,1798,34.2
ards--donaghadee-north,DONAGHADEE NORTH,ARDS,Donaghadee North,2226,1056,1170,2248,1054,1194,1.0
ards--donaghadee-south,DONAGHADEE SOUTH,ARDS,Donaghadee South,2868,1375,1493,3310,1518,1792,15.4
ards--glen,GLEN,ARDS,Glen,3291,1557,1734,3405,1640,1765,3.5
ards--greyabbey,GREYABBEY,ARDS,Grey Abbey,2646,1274,1372,2913,1419,1494,10.1
ards--killinchy,KILLINCHY,ARDS,Killinchy,2168,1089,1079,2506,1263,1243,15.6
ards--kircubbin,KIRCUBBIN,ARDS,Kircubbin,3006,1556,1450,3146,1585,1561,4.7
ards--loughries,LOUGHRIES,ARDS,Loughries,2909,1443,1466,3847,1937,1910,32.2
ards--movilla,MOVILLA,ARDS,Movilla,2563,1213,1350,5473,2633,2840,113.5
ards--portaferry,PORTAFERRY,ARDS,Portaferry,2686,1336,1350,3183,1571,1612,18.5
ards--scrabo,SCRABO,ARDS,Scrabo,2739,1251,1488,3106,1397,1709,13.4
