party,candidacies,bodies,suggested_action
Independent,2827,"dail-eireann:1381,local-government:1201,ireland-european:124,northern-ireland-assembly:60,house-of-commons-of-the-united-kingdom:24,ireland-president:19,parliament-of-northern-ireland:18",independent — set per candidacy in alignment_overrides.csv
Fianna Fáil,2209,"dail-eireann:2117,ireland-european:84,ireland-president:7,parliament-of-northern-ireland:1",
Fine Gael,1594,"dail-eireann:1510,ireland-european:77,ireland-president:7",
Yes,1207,"ireland-referendum:1196,northern-ireland-referendum:11",
No,1207,"ireland-referendum:1196,northern-ireland-referendum:11",
Irish Labour,808,"dail-eireann:753,ireland-european:44,parliament-of-northern-ireland:10,ireland-president:1",
Green,480,"dail-eireann:240,northern-ireland-assembly:82,local-government:77,house-of-commons-of-the-united-kingdom:33,ireland-european:24,northern-ireland-forum-for-political-dialogue:19,european-parliament:5",
Cumann na nGaedheal,477,dail-eireann:477,
Conservative,231,"local-government:104,house-of-commons-of-the-united-kingdom:59,northern-ireland-assembly:47,northern-ireland-forum-for-political-dialogue:17,european-parliament:4",
Workers' Party,222,"house-of-commons-of-the-united-kingdom:81,northern-ireland-assembly:55,dail-eireann:29,local-government:20,northern-ireland-forum-for-political-dialogue:19,ireland-european:13,european-parliament:5",
Republican Clubs,201,"local-government:145,house-of-commons-of-the-united-kingdom:29,northern-ireland-constitutional-convention:17,northern-ireland-assembly:10",republican-adjacent but a distinct party from Sinn Féin
NI Labour,199,"parliament-of-northern-ireland:120,house-of-commons-of-the-united-kingdom:57,northern-ireland-assembly:16,northern-ireland-constitutional-convention:6",
Labour Party (Ireland),178,dail-eireann:178,
Independent Unionist,174,"parliament-of-northern-ireland:69,northern-ireland-assembly:59,house-of-commons-of-the-united-kingdom:38,northern-ireland-constitutional-convention:6,dail-eireann:2",independent — set per candidacy in alignment_overrides.csv
Clann na Poblachta,160,dail-eireann:160,
Workers Party,130,local-government:130,
Farmers,112,dail-eireann:112,
Republican,90,"dail-eireann:84,parliament-of-northern-ireland:6",republican-adjacent but a distinct party from Sinn Féin
Clann na Talmhan,89,dail-eireann:89,
Northern Ireland Labour Party,89,local-government:89,
Solidarity-PBP,86,"dail-eireann:79,ireland-european:7",PBP-adjacent; separate registration from PBP
UKIP,81,"local-government:46,northern-ireland-assembly:21,house-of-commons-of-the-united-kingdom:12,european-parliament:2",
Natural Law,78,"house-of-commons-of-the-united-kingdom:29,northern-ireland-forum-for-political-dialogue:19,northern-ireland-assembly:18,ireland-european:8,european-parliament:4",
Irish Independence Party,75,local-government:75,
Independent Other,69,"northern-ireland-assembly:37,house-of-commons-of-the-united-kingdom:26,european-parliament:6",independent — set per candidacy in alignment_overrides.csv
Ulster Democratic Party,67,"local-government:35,northern-ireland-forum-for-political-dialogue:19,northern-ireland-assembly:11,house-of-commons-of-the-united-kingdom:2",
Pro-Treaty Sinn Féin,66,dail-eireann:66,republican-adjacent but a distinct party from Sinn Féin
Social Democrats,66,"dail-eireann:62,ireland-european:4",
Nationalist Party,59,dail-eireann:59,nationalist-adjacent; check body and era
Progressive Democrats,58,"dail-eireann:50,ireland-european:8",
Green / Ecology,58,local-government:58,
Anti-Treaty Sinn Féin,57,dail-eireann:57,republican-adjacent but a distinct party from Sinn Féin
NI21,49,"local-government:48,european-parliament:1",
Comhar Criostai / Christian Solidarity,42,"dail-eireann:40,ireland-european:2",
Non-party,41,dail-eireann:41,
