id,sourceRowNumber,roiGroup,groupTitle,provider,organisation,category,title,cleanTitle,slugOrId,jurisdiction,topic,featureUnit,formats,isSpatial,isLargeOrSpecial,proposedAction,proposedPlacement,proposedRuntime,confidence,currentProviderUrl,waybackUrl,internetArchiveStatus,canonicalSourcePolicy,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,allMatchEvidence,resolvedBlockers,residualBlockers,residualBlockerCount,cleanedRecommendation,geographyRecommendation,comparabilityRecommendation,sourcePlacement,sourceProvenanceDraft,approvalState,publicationState,runtimeDesired,runtimeConversion
medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,2,2. Irish election source/enrichment data,Irish election source/enrichment data,Local standalone source,,standalone-spatial,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023,constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633,Republic of Ireland,election,constituencies,GEOJSON,true,false,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,,,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,Local standalone source | ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023 | formats: GEOJSON | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-100m-national-electoral-boundaries-20171:00028,29,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017,Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017,constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries - Generalised 100m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-100m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20171:00029,30,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017,Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017,constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries - Generalised 20m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-national-electoral-boundaries-ungeneralised-2026:00030,31,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026,Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026,constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries - National Electoral Boundaries - Ungeneralised - 2026 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-national-electoral-boundaries-ungeneralised-2026 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-20m-national-electoral-boundaries-20131:00031,32,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013,Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013,constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries Generalised 20m - National Electoral Boundaries - 2013 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-20m-national-electoral-boundaries-20131 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-generalised-50m-national-electoral-boundaries-20171:00032,33,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017,Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017,constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries Generalised 50m - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-generalised-50m-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20131:00033,34,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013,constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2013 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20131 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20171:00034,35,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017,constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2017 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20171 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:constituency-boundaries-ungeneralised-national-electoral-boundaries-20231:00035,36,2. Irish election source/enrichment data,Irish election source/enrichment data,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023,Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023,constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,https://web.archive.org/web/*/https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Constituency Boundaries Ungeneralised - National Electoral Boundaries - 2023 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/constituency-boundaries-ungeneralised-national-electoral-boundaries-20231 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:2-irish-election-source-enrichment-data:dail-constituencies-2013-sdcc1:00101,102,2. Irish election source/enrichment data,Irish election source/enrichment data,data.gov.ie,South Dublin County Council,spatial,Dail Constituencies 2013 SDCC,Dail Constituencies 2013 SDCC,dail-constituencies-2013-sdcc1,Republic of Ireland,election,constituencies,ARCGIS GEOSERVICES REST API|CSV|GEOJSON|HTML|KML|ZIP,true,false,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,https://data.gov.ie/dataset/dail-constituencies-2013-sdcc1,https://web.archive.org/web/*/https://data.gov.ie/dataset/dail-constituencies-2013-sdcc1,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"large-or-special-format-review: normal source package; no special-format hold | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"South Dublin County Council | Dail Constituencies 2013 SDCC | formats: ARCGIS GEOSERVICES REST API, CSV, GEOJSON, HTML, KML, ZIP | current URL: https://data.gov.ie/dataset/dail-constituencies-2013-sdcc1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
