id,sourceRowNumber,roiGroup,groupTitle,provider,organisation,category,title,cleanTitle,slugOrId,jurisdiction,topic,featureUnit,formats,isSpatial,isLargeOrSpecial,proposedAction,proposedPlacement,proposedRuntime,confidence,currentProviderUrl,waybackUrl,internetArchiveStatus,canonicalSourcePolicy,bestExistingMatchType,bestExistingMatchId,bestExistingMatchTitle,bestExistingMatchScore,bestExistingMatchStillPresent,allMatchEvidence,resolvedBlockers,residualBlockers,residualBlockerCount,cleanedRecommendation,geographyRecommendation,comparabilityRecommendation,sourcePlacement,sourceProvenanceDraft,approvalState,publicationState,runtimeDesired,runtimeConversion
medium-prep:2-irish-election-source-enrichment-data:constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633:00001,2,2. Irish election source/enrichment data,Irish election source/enrichment data,Local standalone source,,standalone-spatial,ConstituencyBoundariesUngeneralised_National_Electoral_Boundaries_2023_-2568859868331602633,ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023,constituencyboundariesungeneralised-national-electoral-boundaries-2023-2568859868331602633,Republic of Ireland,election,constituencies,GEOJSON,true,false,new-interactive-map,Books/Tables/Sources source/download record,[object Object],60,,,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"geography-matching: geography family inferred | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | election-model-merge-and-provenance-review: requires exact election merge review,2,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Match by election kind, legislation/version, jurisdiction, and date; do not merge Dail/Westminster/Assembly geographies by name alone.",,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,Local standalone source | ConstituencyBoundariesUngeneralised National Electoral Boundaries 2023 | formats: GEOJSON | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection:00003,4,4. Open Data NI boundary and statistical-geography files,Open Data NI boundary and statistical-geography files,Open Data NI,Department for Infrastructure - Rivers,spatial,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract,coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,Northern Ireland,boundary,features,SHP,true,false,variant-child-map,Maps > boundary/geography variant,[object Object],45,https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"duplicate-or-variant-review: classified as variant-child-map | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",geography-crosswalk-and-versioning: needs exact geography crosswalk,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,Department for Infrastructure - Rivers | Coastal Flood Boundary Extreme Sea Levels (2018) - NI Extract | formats: SHP | current URL: https://admin.opendatani.gov.uk/dataset/coastal-flood-boundary-extreme-sea-levels-2018-ni-extract-irish-grid-projection | IA mirror/download link pending; do not expose local drive paths.,ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:4-open-data-ni-boundary-and-statistical-geography-files:department-of-health-trust-boundaries:00004,5,4. Open Data NI boundary and statistical-geography files,Open Data NI boundary and statistical-geography files,Open Data NI,Department of Health,spatial,Department of Health trust boundaries,Department of Health trust boundaries,department-of-health-trust-boundaries,Northern Ireland,boundary,features,GEOJSON|SHP,true,false,variant-child-map,Maps > boundary/geography variant,[object Object],45,https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,https://web.archive.org/web/*/https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"duplicate-or-variant-review: classified as variant-child-map | map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",geography-crosswalk-and-versioning: needs exact geography crosswalk,1,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,Interactive map if dedupe passes and size/geometry is suitable; otherwise source/download record.,"Department of Health | Department of Health trust boundaries | formats: GEOJSON, SHP | current URL: https://admin.opendatani.gov.uk/dataset/department-of-health-trust-boundaries | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,MapLibre interactive layer,Convert source geometry to PMTiles/vector tiles after approval.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-20191:00012,13,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas - National Statutory Boundaries - 2019,Administrative Areas - National Statutory Boundaries - 2019,administrative-areas-national-statutory-boundaries-20191,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-20191 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-national-statutory-boundaries-2019-generalised-20m1:00013,14,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m,administrative-areas-national-statutory-boundaries-2019-generalised-20m1,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas - National Statutory Boundaries - 2019 - Generalised 20m | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-national-statutory-boundaries-2019-generalised-20m1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-100m-national-statutory-boundaries-20151:00014,15,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,Administrative Areas Generalised 100m - National Statutory Boundaries - 2015,administrative-areas-generalised-100m-national-statutory-boundaries-20151,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 100m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-100m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-20m-national-statutory-boundaries-20151:00015,16,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,Administrative Areas Generalised 20m - National Statutory Boundaries - 2015,administrative-areas-generalised-20m-national-statutory-boundaries-20151,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 20m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-20m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-generalised-50m-national-statutory-boundaries-20151:00016,17,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,Administrative Areas Generalised 50m - National Statutory Boundaries - 2015,administrative-areas-generalised-50m-national-statutory-boundaries-20151,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Generalised 50m - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-generalised-50m-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:administrative-areas-ungeneralised-national-statutory-boundaries-20151:00017,18,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,Administrative Areas Ungeneralised - National Statutory Boundaries - 2015,administrative-areas-ungeneralised-national-statutory-boundaries-20151,Republic of Ireland,boundary,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,https://web.archive.org/web/*/https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Administrative Areas Ungeneralised - National Statutory Boundaries - 2015 | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/administrative-areas-ungeneralised-national-statutory-boundaries-20151 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
medium-prep:3-authoritative-boundary-variants-from-tailte-osi-open-data-ni-nisra:baronies-national-placenames-gazetteer1:00018,19,3. Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Authoritative boundary variants from Tailte/OSI/Open Data NI/NISRA,Tailte/OSI/data.gov.ie,Tailte Éireann,spatial,Baronies - National Placenames Gazetteer,Baronies - National Placenames Gazetteer,baronies-national-placenames-gazetteer1,Republic of Ireland,source-data,features,ARCGIS GEOSERVICES REST API|CSV|GDB|GEOJSON|GPKG|HTML|KML|TXT|XLSX|ZIP,true,true,hold-special-format,Books/Tables/Sources source/download record,[object Object],45,https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,https://web.archive.org/web/*/https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1,pending-upload-or-linking,"current provider URL first, Wayback and IA mirror/link retained where available",,,,,false,,"map-conversion-pmtiles-or-download-only-decision: conversion path staged, not executed",duplicate-or-variant-review: no existing match candidate | geography-crosswalk-and-versioning: needs exact geography crosswalk | large-or-special-format-review: size/format decision remains before runtime publication,3,Compare provider/date/scale/generalisation/schema; publish only as variant/child/source if materially different.,"Use provider extent, geometry type, year, and existing Civgraph family as matching keys before creating new records.",,IA download/viewport first; R2/CDN only for approved derived tiles/previews.,"Tailte Éireann | Baronies - National Placenames Gazetteer | formats: ARCGIS GEOSERVICES REST API, CSV, GDB, GEOJSON, GPKG, HTML, KML, TXT, XLSX, ZIP | current URL: https://data.gov.ie/dataset/baronies-national-placenames-gazetteer1 | IA mirror/download link pending; do not expose local drive paths.",ready-with-residual-review,staged-only-not-published,download/source viewport first,Do not convert until size/format review approves an interactive derivative.
