rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
1,data.gov.ie,"Department of Climate, Energy and the Environment",10mw-offshore-wind-turbine-capacity-factor,shapefile,109820,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\10mw-offshore-wind-turbine-capacity-factor\shapefile"
2,data.gov.ie,"Department of Climate, Energy and the Environment",10mw-offshore-wind-turbine-technical-output-gwh,shapefile,109724,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\10mw-offshore-wind-turbine-technical-output-gwh\shapefile"
3,data.gov.ie,"Department of Climate, Energy and the Environment",12nm-territorial-sea-limit2,shapefile,33958,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\12nm-territorial-sea-limit2\shapefile"
4,data.gov.ie,"Department of Climate, Energy and the Environment",accommodation-hotspot-type1,shapefile,1178638,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\accommodation-hotspot-type1\shapefile"
5,data.gov.ie,"Department of Climate, Energy and the Environment",agreed-boundary-for-ore-development-between-ireland-and-northern-ireland,shapefile,5170,not-found-in-site-manifests,none,administrative-boundaries,95,1,new-interactive-map-candidate-high-priority,Browse maps plus MapLibre conversion after geometry validation,no,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only for generated PMTiles/metadata after conversion; raw file stays IA-hotlinked,,,"Department of Climate, Energy and the Environment\agreed-boundary-for-ore-development-between-ireland-and-northern-ireland\shapefile"
6,data.gov.ie,"Department of Climate, Energy and the Environment",angling-charter-vessels-and-port,shapefile,12323,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\angling-charter-vessels-and-port\shapefile"
7,data.gov.ie,"Department of Climate, Energy and the Environment",aquaculture,shapefile,303481,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\aquaculture\shapefile"
8,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-haddock-nursery-grounds1,shapefile,122716,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-haddock-nursery-grounds1\shapefile"
9,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-haddock-spawning-amp-nursery-grounds,shapefile,11308,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-haddock-spawning-amp-nursery-grounds\shapefile"
10,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-haddock-spawning-ground1,shapefile,11326,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-haddock-spawning-ground1\shapefile"
11,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-hake-nursery-grounds1,shapefile,30232,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-hake-nursery-grounds1\shapefile"
12,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-hake-spawning-amp-nursery-grounds,shapefile,5132,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-hake-spawning-amp-nursery-grounds\shapefile"
13,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-hake-spawning-ground1,shapefile,5136,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-hake-spawning-ground1\shapefile"
14,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-herring-nursery-grounds1,shapefile,1066321,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-herring-nursery-grounds1\shapefile"
15,data.gov.ie,"Department of Climate, Energy and the Environment",atlantic-herring-spawning-amp-nursery-grounds,shapefile,12844,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\atlantic-herring-spawning-amp-nursery-grounds\shapefile"
