source,status,provider,dataset,file,bytes,url,raw
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",10mw-offshore-wind-turbine-capacity-factor,shapefile,109820,,"Department of Climate, Energy and the Environment\10mw-offshore-wind-turbine-capacity-factor\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",10mw-offshore-wind-turbine-technical-output-gwh,shapefile,109724,,"Department of Climate, Energy and the Environment\10mw-offshore-wind-turbine-technical-output-gwh\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",12nm-territorial-sea-limit2,shapefile,33958,,"Department of Climate, Energy and the Environment\12nm-territorial-sea-limit2\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",accommodation-hotspot-type1,shapefile,1178638,,"Department of Climate, Energy and the Environment\accommodation-hotspot-type1\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",agreed-boundary-for-ore-development-between-ireland-and-northern-ireland,shapefile,5170,,"Department of Climate, Energy and the Environment\agreed-boundary-for-ore-development-between-ireland-and-northern-ireland\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",angling-charter-vessels-and-port,shapefile,12323,,"Department of Climate, Energy and the Environment\angling-charter-vessels-and-port\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",aquaculture,shapefile,303481,,"Department of Climate, Energy and the Environment\aquaculture\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",atlantic-haddock-nursery-grounds1,shapefile,122716,,"Department of Climate, Energy and the Environment\atlantic-haddock-nursery-grounds1\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",atlantic-haddock-spawning-amp-nursery-grounds,shapefile,11308,,"Department of Climate, Energy and the Environment\atlantic-haddock-spawning-amp-nursery-grounds\shapefile"
data.gov.ie local mirror,local,"Department of Climate, Energy and the Environment",atlantic-haddock-spawning-ground1,shapefile,11326,,"Department of Climate, Energy and the Environment\atlantic-haddock-spawning-ground1\shapefile"
